idx,label,x,y,timestamp
0,arrow,69,226,1366923
1,arrow,72,225,1366934
2,arrow,74,224,1366939
3,arrow,77,223,1366945
4,arrow,82,219,1366951
5,arrow,86,217,1366957
6,arrow,89,215,1366958
7,arrow,97,212,1366967
8,arrow,101,209,1366973
9,arrow,106,207,1366974
10,arrow,116,202,1366983
11,arrow,126,196,1366990
12,arrow,131,194,1366998
13,arrow,136,191,1366999
14,arrow,146,185,1367009
15,arrow,155,180,1367017
16,arrow,163,174,1367025
17,arrow,171,170,1367033
18,arrow,174,168,1367034
19,arrow,181,164,1367045
20,arrow,183,163,1367046
21,arrow,188,160,1367059
22,arrow,191,157,1367068
23,arrow,193,155,1367078
24,arrow,191,155,1367107
25,arrow,187,157,1367117
26,arrow,180,160,1367128
27,arrow,171,163,1367140
28,arrow,161,167,1367151
29,arrow,151,171,1367163
30,arrow,145,173,1367175
31,arrow,142,173,1367176
32,arrow,135,174,1367190
33,arrow,131,174,1367202
34,arrow,126,174,1367214
35,arrow,125,171,1367239
36,arrow,127,169,1367252
37,arrow,134,166,1367265
38,arrow,143,164,1367278
39,arrow,147,162,1367280
40,arrow,162,157,1367296
41,arrow,174,153,1367310
42,arrow,189,146,1367324
43,arrow,199,141,1367338
44,arrow,203,140,1367339
45,arrow,210,138,1367356
46,arrow,213,137,1367370
47,arrow,215,137,1367371
48,arrow,213,140,1367391
49,arrow,209,145,1367407
50,arrow,207,147,1367408
51,arrow,198,155,1367426
52,arrow,196,158,1367427
53,arrow,188,168,1367446
54,arrow,177,180,1367463
55,arrow,171,188,1367480
56,arrow,167,193,1367500
57,arrow,166,195,1367516
