idx,label,x,y,timestamp
0,arrow,51,205,124806842
1,arrow,53,207,124806952
2,arrow,55,208,124806964
3,arrow,57,209,124806972
4,arrow,59,209,124806981
5,arrow,62,210,124806989
6,arrow,64,210,124806995
7,arrow,68,210,124807002
8,arrow,71,210,124807008
9,arrow,74,209,124807010
10,arrow,79,206,124807019
11,arrow,86,203,124807026
12,arrow,93,201,124807034
13,arrow,100,198,124807042
14,arrow,108,194,124807050
15,arrow,117,190,124807058
16,arrow,125,186,124807067
17,arrow,134,182,124807076
18,arrow,143,177,124807085
19,arrow,147,175,124807086
20,arrow,159,170,124807098
21,arrow,167,167,124807108
22,arrow,178,161,124807119
23,arrow,185,158,124807130
24,arrow,191,156,124807141
25,arrow,193,153,124807153
26,arrow,190,153,124807177
27,arrow,187,154,124807187
28,arrow,181,155,124807198
29,arrow,174,158,124807210
30,arrow,166,158,124807222
31,arrow,159,159,124807233
32,arrow,155,160,124807245
33,arrow,151,160,124807257
34,arrow,149,161,124807258
35,arrow,146,163,124807272
36,arrow,144,163,124807284
37,arrow,145,161,124807306
38,arrow,147,160,124807319
39,arrow,153,159,124807332
40,arrow,157,158,124807345
41,arrow,161,157,124807347
42,arrow,170,156,124807363
43,arrow,177,157,124807377
44,arrow,179,157,124807379
45,arrow,185,159,124807395
46,arrow,192,159,124807410
47,arrow,197,161,124807425
48,arrow,199,163,124807441
49,arrow,198,168,124807456
50,arrow,192,176,124807472
51,arrow,186,186,124807488
52,arrow,181,196,124807505
53,arrow,178,206,124807522
54,arrow,178,208,124807523
55,arrow,177,210,124807541
