idx,label,x,y,timestamp
0,arrow,37,252,252722144
1,arrow,38,250,252722152
2,arrow,40,249,252722164
3,arrow,42,247,252722176
4,arrow,44,248,252722187
5,arrow,47,245,252722195
6,arrow,48,243,252722203
7,arrow,51,242,252722211
8,arrow,54,241,252722219
9,arrow,57,237,252722227
10,arrow,60,235,252722235
11,arrow,64,232,252722244
12,arrow,68,230,252722252
13,arrow,73,227,252722261
14,arrow,78,224,252722269
15,arrow,83,219,252722278
16,arrow,88,216,252722287
17,arrow,91,214,252722288
18,arrow,97,210,252722297
19,arrow,103,205,252722307
20,arrow,106,203,252722308
21,arrow,113,198,252722318
22,arrow,122,191,252722328
23,arrow,127,186,252722339
24,arrow,130,185,252722340
25,arrow,135,181,252722350
26,arrow,137,181,252722351
27,arrow,141,178,252722362
28,arrow,144,175,252722373
29,arrow,147,174,252722384
30,arrow,150,173,252722396
31,arrow,152,171,252722407
32,arrow,150,172,252722468
33,arrow,147,172,252722484
34,arrow,145,171,252722496
35,arrow,143,172,252722508
36,arrow,140,170,252722521
37,arrow,137,169,252722533
38,arrow,135,169,252722546
39,arrow,130,167,252722559
40,arrow,123,165,252722573
41,arrow,120,164,252722586
42,arrow,114,163,252722600
43,arrow,110,162,252722614
44,arrow,107,162,252722628
45,arrow,105,162,252722652
46,arrow,107,162,252722733
47,arrow,110,163,252722748
48,arrow,112,164,252722762
49,arrow,118,167,252722778
50,arrow,127,170,252722794
51,arrow,135,173,252722810
52,arrow,143,175,252722826
53,arrow,149,177,252722842
54,arrow,153,178,252722858
55,arrow,156,178,252722875
56,arrow,158,179,252722892
57,arrow,159,176,252722938
58,arrow,159,178,252723022
59,arrow,158,181,252723042
60,arrow,157,185,252723059
61,arrow,155,195,252723078
62,arrow,151,207,252723096
63,arrow,148,217,252723115
64,arrow,147,222,252723134
65,arrow,146,224,252723154
66,arrow,146,226,252723198
67,arrow,147,223,252723230
