idx,label,x,y,timestamp
0,arrow,32,238,119703571
1,arrow,34,236,119703612
2,arrow,36,235,119703640
3,arrow,38,235,119703661
4,arrow,40,234,119703677
5,arrow,42,234,119703689
6,arrow,44,232,119703709
7,arrow,46,230,119703725
8,arrow,48,230,119703745
9,arrow,51,229,119703765
10,arrow,53,228,119703782
11,arrow,55,226,119703798
12,arrow,57,226,119703814
13,arrow,59,225,119703830
14,arrow,61,223,119703843
15,arrow,63,222,119703864
16,arrow,65,220,119703879
17,arrow,67,221,119703896
18,arrow,69,219,119703912
19,arrow,72,218,119703936
20,arrow,74,216,119703952
21,arrow,76,215,119703972
22,arrow,78,213,119703988
23,arrow,81,212,119704008
24,arrow,83,211,119704028
25,arrow,85,210,119704049
26,arrow,87,208,119704073
27,arrow,89,206,119704096
28,arrow,91,205,119704116
29,arrow,93,203,119704132
30,arrow,95,202,119704156
31,arrow,97,200,119704180
32,arrow,99,198,119704196
33,arrow,101,197,119704221
34,arrow,103,196,119704246
35,arrow,104,194,119704263
36,arrow,106,193,119704291
37,arrow,108,191,119704316
38,arrow,109,189,119704331
39,arrow,111,188,119704355
40,arrow,114,185,119704388
41,arrow,116,184,119704421
42,arrow,118,183,119704453
43,arrow,120,181,119704497
44,arrow,122,180,119704537
45,arrow,123,178,119704562
46,arrow,121,179,119704691
47,arrow,119,180,119704719
48,arrow,117,180,119704751
49,arrow,114,182,119704767
50,arrow,112,182,119704785
51,arrow,110,183,119704801
52,arrow,108,182,119704818
53,arrow,106,183,119704839
54,arrow,104,183,119704855
55,arrow,101,184,119704874
56,arrow,99,185,119704891
57,arrow,97,186,119704909
58,arrow,95,185,119704926
59,arrow,93,186,119704944
60,arrow,91,186,119704966
61,arrow,86,187,119704986
62,arrow,84,187,119705005
63,arrow,82,187,119705024
64,arrow,80,188,119705043
65,arrow,76,187,119705068
66,arrow,74,188,119705087
67,arrow,72,189,119705107
68,arrow,70,188,119705127
69,arrow,67,188,119705147
70,arrow,65,188,119705175
71,arrow,63,187,119705204
72,arrow,65,187,119705304
73,arrow,67,187,119705325
74,arrow,71,185,119705346
75,arrow,75,185,119705368
76,arrow,77,184,119705390
77,arrow,82,184,119705412
78,arrow,84,183,119705434
79,arrow,88,183,119705456
80,arrow,90,183,119705479
81,arrow,95,181,119705502
82,arrow,99,180,119705525
83,arrow,101,179,119705548
84,arrow,103,179,119705571
85,arrow,107,178,119705595
86,arrow,109,177,119705621
87,arrow,113,177,119705645
88,arrow,115,176,119705668
89,arrow,117,175,119705693
90,arrow,119,176,119705718
91,arrow,121,175,119705745
92,arrow,123,174,119705774
93,arrow,125,174,119705819
94,arrow,127,172,119705872
95,arrow,129,172,119705915
96,arrow,130,175,119706019
97,arrow,130,177,119706058
98,arrow,130,179,119706098
99,arrow,129,181,119706126
100,arrow,129,183,119706152
101,arrow,129,185,119706179
102,arrow,128,190,119706206
103,arrow,128,192,119706234
104,arrow,128,196,119706261
105,arrow,128,201,119706289
106,arrow,128,203,119706316
107,arrow,129,208,119706345
108,arrow,129,210,119706373
109,arrow,129,215,119706401
110,arrow,129,220,119706430
111,arrow,130,224,119706459
112,arrow,130,229,119706488
113,arrow,130,231,119706517
114,arrow,131,236,119706547
115,arrow,131,238,119706576
