idx,label,x,y,timestamp
0,arrow,80,215,116679663
1,arrow,81,218,116679707
2,arrow,84,219,116679728
3,arrow,86,220,116679744
4,arrow,89,220,116679756
5,arrow,91,221,116679763
6,arrow,94,221,116679771
7,arrow,97,220,116679779
8,arrow,100,219,116679787
9,arrow,103,219,116679795
10,arrow,106,219,116679803
11,arrow,109,219,116679811
12,arrow,112,219,116679819
13,arrow,116,217,116679828
14,arrow,119,215,116679836
15,arrow,122,214,116679845
16,arrow,125,212,116679854
17,arrow,128,211,116679862
18,arrow,131,209,116679871
19,arrow,134,207,116679879
20,arrow,137,205,116679888
21,arrow,140,204,116679898
22,arrow,142,202,116679907
23,arrow,145,200,116679917
24,arrow,150,196,116679927
25,arrow,153,194,116679937
26,arrow,155,192,116679947
27,arrow,159,188,116679959
28,arrow,161,186,116679969
29,arrow,164,184,116679980
30,arrow,168,180,116679991
31,arrow,169,178,116680003
32,arrow,173,173,116680014
33,arrow,174,171,116680026
34,arrow,175,169,116680042
35,arrow,176,167,116680054
36,arrow,177,164,116680083
37,arrow,178,162,116680116
38,arrow,176,164,116680176
39,arrow,174,165,116680193
40,arrow,172,166,116680206
41,arrow,167,167,116680220
42,arrow,161,169,116680234
43,arrow,158,170,116680248
44,arrow,152,171,116680262
45,arrow,146,172,116680277
46,arrow,141,174,116680291
47,arrow,137,174,116680306
48,arrow,132,174,116680321
49,arrow,130,174,116680336
50,arrow,128,174,116680351
51,arrow,126,173,116680367
52,arrow,129,173,116680462
53,arrow,132,174,116680478
54,arrow,137,172,116680494
55,arrow,143,173,116680511
56,arrow,150,173,116680528
57,arrow,157,171,116680545
58,arrow,165,167,116680562
59,arrow,170,165,116680580
60,arrow,172,165,116680597
61,arrow,175,163,116680598
62,arrow,177,162,116680617
63,arrow,179,161,116680635
64,arrow,181,158,116680665
65,arrow,181,161,116680689
66,arrow,182,163,116680709
67,arrow,182,165,116680729
68,arrow,181,170,116680748
69,arrow,181,172,116680749
70,arrow,180,178,116680769
71,arrow,180,185,116680789
72,arrow,181,193,116680809
73,arrow,182,201,116680830
74,arrow,185,206,116680850
75,arrow,186,209,116680870
76,arrow,188,211,116680891
