idx,label,x,y,timestamp
0,arrow,38,220,88441286
1,arrow,37,218,88441341
2,arrow,38,215,88441413
3,arrow,40,214,88441445
4,arrow,42,212,88441468
5,arrow,44,210,88441489
6,arrow,47,208,88441506
7,arrow,49,208,88441518
8,arrow,51,207,88441530
9,arrow,53,205,88441542
10,arrow,55,204,88441554
11,arrow,57,202,88441566
12,arrow,60,200,88441578
13,arrow,62,199,88441590
14,arrow,65,197,88441603
15,arrow,67,195,88441615
16,arrow,69,194,88441624
17,arrow,71,192,88441632
18,arrow,74,191,88441641
19,arrow,76,190,88441652
20,arrow,79,188,88441664
21,arrow,81,186,88441676
22,arrow,84,184,88441689
23,arrow,87,182,88441700
24,arrow,90,181,88441713
25,arrow,92,180,88441723
26,arrow,94,178,88441733
27,arrow,96,177,88441743
28,arrow,99,176,88441754
29,arrow,101,175,88441765
30,arrow,103,174,88441778
31,arrow,106,172,88441790
32,arrow,108,172,88441805
33,arrow,110,171,88441822
34,arrow,112,170,88441834
35,arrow,115,169,88441850
36,arrow,117,168,88441867
37,arrow,119,166,88441883
38,arrow,121,165,88441899
39,arrow,124,164,88441916
40,arrow,126,163,88441929
41,arrow,128,161,88441946
42,arrow,130,160,88441960
43,arrow,132,160,88441974
44,arrow,134,159,88441991
45,arrow,136,157,88442015
46,arrow,136,155,88442115
47,arrow,134,154,88442164
48,arrow,132,154,88442184
49,arrow,130,153,88442200
50,arrow,128,154,88442216
51,arrow,126,155,88442232
52,arrow,123,155,88442249
53,arrow,121,156,88442264
54,arrow,119,157,88442280
55,arrow,116,157,88442300
56,arrow,114,158,88442316
57,arrow,112,159,88442333
58,arrow,109,158,88442350
59,arrow,107,159,88442367
60,arrow,105,160,88442385
61,arrow,103,160,88442405
62,arrow,101,162,88442422
63,arrow,98,162,88442441
64,arrow,96,162,88442461
65,arrow,94,163,88442481
66,arrow,92,164,88442505
67,arrow,90,165,88442525
68,arrow,88,165,88442562
69,arrow,90,165,88442735
70,arrow,93,165,88442754
71,arrow,97,164,88442774
72,arrow,102,162,88442794
73,arrow,108,162,88442815
74,arrow,112,160,88442838
75,arrow,118,160,88442859
76,arrow,122,157,88442880
77,arrow,127,157,88442902
78,arrow,129,157,88442923
79,arrow,131,156,88442924
80,arrow,133,156,88442946
81,arrow,137,156,88442968
82,arrow,140,155,88442990
83,arrow,142,156,88443012
84,arrow,143,158,88443216
85,arrow,143,160,88443242
86,arrow,142,163,88443265
87,arrow,140,168,88443289
88,arrow,137,174,88443312
89,arrow,132,182,88443335
90,arrow,128,190,88443359
91,arrow,125,195,88443383
92,arrow,121,202,88443407
93,arrow,120,205,88443431
94,arrow,117,209,88443456
95,arrow,115,213,88443480
96,arrow,113,214,88443526
