idx,label,x,y,timestamp
0,arrow,62,230,120691309
1,arrow,63,227,120691345
2,arrow,65,226,120691362
3,arrow,68,224,120691374
4,arrow,71,220,120691382
5,arrow,74,217,120691391
6,arrow,77,214,120691398
7,arrow,79,212,120691405
8,arrow,81,211,120691407
9,arrow,85,208,120691415
10,arrow,89,204,120691423
11,arrow,94,199,120691431
12,arrow,99,195,120691439
13,arrow,104,190,120691448
14,arrow,109,186,120691457
15,arrow,115,181,120691465
16,arrow,117,180,120691467
17,arrow,122,177,120691478
18,arrow,125,174,120691479
19,arrow,132,169,120691490
20,arrow,136,167,120691501
21,arrow,138,165,120691503
22,arrow,140,164,120691514
23,arrow,143,161,120691515
24,arrow,147,159,120691527
25,arrow,152,155,120691538
26,arrow,154,153,120691549
27,arrow,156,151,120691561
28,arrow,159,148,120691574
29,arrow,161,147,120691631
30,arrow,159,147,120691715
31,arrow,157,146,120691731
32,arrow,154,146,120691743
33,arrow,152,147,120691756
34,arrow,146,147,120691769
35,arrow,143,147,120691782
36,arrow,133,148,120691796
37,arrow,130,149,120691809
38,arrow,123,149,120691823
39,arrow,118,149,120691837
40,arrow,113,149,120691852
41,arrow,111,148,120691866
42,arrow,113,147,120691947
43,arrow,115,148,120691963
44,arrow,117,148,120691978
45,arrow,120,147,120691993
46,arrow,125,147,120692009
47,arrow,130,147,120692025
48,arrow,135,148,120692041
49,arrow,141,149,120692057
50,arrow,146,149,120692074
51,arrow,152,148,120692090
52,arrow,155,149,120692092
53,arrow,159,148,120692109
54,arrow,161,148,120692126
55,arrow,162,150,120692168
56,arrow,161,152,120692188
57,arrow,160,155,120692228
58,arrow,159,157,120692246
59,arrow,159,160,120692264
60,arrow,159,165,120692283
61,arrow,160,170,120692302
62,arrow,161,178,120692321
63,arrow,161,183,120692340
64,arrow,162,188,120692359
65,arrow,161,191,120692361
66,arrow,161,193,120692380
67,arrow,161,195,120692400
68,arrow,161,197,120692421
