idx,label,x,y,timestamp
0,arrow,66,261,11470071
1,arrow,68,259,11470083
2,arrow,71,257,11470096
3,arrow,74,255,11470103
4,arrow,78,252,11470112
5,arrow,80,251,11470118
6,arrow,84,248,11470125
7,arrow,86,247,11470131
8,arrow,88,246,11470132
9,arrow,90,244,11470139
10,arrow,92,243,11470141
11,arrow,97,239,11470148
12,arrow,102,236,11470156
13,arrow,107,232,11470165
14,arrow,112,229,11470173
15,arrow,117,227,11470181
16,arrow,122,224,11470190
17,arrow,129,218,11470200
18,arrow,134,216,11470209
19,arrow,140,213,11470219
20,arrow,147,209,11470229
21,arrow,154,204,11470240
22,arrow,159,202,11470251
23,arrow,162,200,11470261
24,arrow,165,197,11470271
25,arrow,168,196,11470273
26,arrow,170,194,11470284
27,arrow,172,192,11470296
28,arrow,174,192,11470307
29,arrow,176,189,11470319
30,arrow,174,188,11470380
31,arrow,172,188,11470397
32,arrow,169,187,11470409
33,arrow,167,188,11470422
34,arrow,161,188,11470435
35,arrow,158,189,11470448
36,arrow,154,189,11470449
37,arrow,148,190,11470463
38,arrow,140,192,11470478
39,arrow,134,193,11470493
40,arrow,127,195,11470508
41,arrow,124,196,11470522
42,arrow,122,196,11470537
43,arrow,124,193,11470585
44,arrow,126,193,11470600
45,arrow,129,192,11470601
46,arrow,136,190,11470618
47,arrow,143,188,11470634
48,arrow,149,187,11470650
49,arrow,155,184,11470667
50,arrow,163,183,11470685
51,arrow,166,182,11470702
52,arrow,168,183,11470719
53,arrow,170,184,11470755
54,arrow,170,186,11470774
55,arrow,170,188,11470793
56,arrow,170,190,11470822
57,arrow,170,192,11470841
58,arrow,170,195,11470842
59,arrow,171,199,11470861
60,arrow,171,206,11470881
61,arrow,170,217,11470902
62,arrow,170,222,11470922
63,arrow,170,227,11470942
64,arrow,170,231,11470962
