idx,label,x,y,timestamp
0,arrow,49,193,202345205
1,arrow,51,193,202345378
2,arrow,53,193,202345394
3,arrow,56,193,202345409
4,arrow,59,193,202345422
5,arrow,61,192,202345429
6,arrow,64,191,202345438
7,arrow,67,191,202345446
8,arrow,70,190,202345454
9,arrow,74,189,202345462
10,arrow,76,188,202345469
11,arrow,78,188,202345470
12,arrow,80,187,202345477
13,arrow,82,187,202345478
14,arrow,87,187,202345486
15,arrow,89,186,202345494
16,arrow,91,186,202345495
17,arrow,96,184,202345503
18,arrow,101,184,202345511
19,arrow,106,183,202345520
20,arrow,111,183,202345529
21,arrow,119,181,202345538
22,arrow,125,180,202345547
23,arrow,130,179,202345557
24,arrow,138,179,202345567
25,arrow,143,178,202345577
26,arrow,149,176,202345587
27,arrow,153,176,202345597
28,arrow,156,176,202345607
29,arrow,161,174,202345618
30,arrow,163,174,202345629
31,arrow,165,173,202345639
32,arrow,167,172,202345651
33,arrow,169,172,202345663
34,arrow,170,170,202345687
35,arrow,168,169,202345712
36,arrow,165,167,202345728
37,arrow,163,166,202345741
38,arrow,161,165,202345754
39,arrow,158,165,202345767
40,arrow,155,165,202345768
41,arrow,149,162,202345782
42,arrow,142,162,202345796
43,arrow,135,160,202345810
44,arrow,128,159,202345824
45,arrow,125,160,202345839
46,arrow,120,160,202345853
47,arrow,118,161,202345877
48,arrow,121,161,202345906
49,arrow,123,162,202345921
50,arrow,127,162,202345949
51,arrow,138,163,202345992
52,arrow,160,169,202346037
53,arrow,162,169,202346038
54,arrow,174,171,202346085
55,arrow,173,173,202346131
56,arrow,171,173,202346177
57,arrow,169,174,202346194
58,arrow,167,177,202346214
59,arrow,165,179,202346231
60,arrow,158,188,202346248
61,arrow,147,198,202346266
62,arrow,144,201,202346267
63,arrow,131,210,202346285
64,arrow,119,218,202346303
65,arrow,114,221,202346321
