idx,label,x,y,timestamp
0,arrow,81,206,116674086
1,arrow,83,208,116674134
2,arrow,86,209,116674166
3,arrow,88,208,116674179
4,arrow,90,207,116674191
5,arrow,92,207,116674198
6,arrow,94,207,116674207
7,arrow,97,206,116674215
8,arrow,99,205,116674223
9,arrow,102,205,116674231
10,arrow,104,204,116674239
11,arrow,107,203,116674247
12,arrow,110,202,116674255
13,arrow,112,201,116674263
14,arrow,114,200,116674271
15,arrow,117,198,116674280
16,arrow,120,197,116674289
17,arrow,122,196,116674297
18,arrow,125,195,116674306
19,arrow,127,194,116674314
20,arrow,130,193,116674323
21,arrow,133,191,116674333
22,arrow,136,189,116674342
23,arrow,139,188,116674351
24,arrow,145,182,116674361
25,arrow,148,181,116674371
26,arrow,150,179,116674382
27,arrow,154,175,116674394
28,arrow,156,173,116674406
29,arrow,158,171,116674418
30,arrow,162,166,116674429
31,arrow,163,164,116674440
32,arrow,166,162,116674453
33,arrow,167,159,116674466
34,arrow,168,157,116674488
35,arrow,169,155,116674509
36,arrow,166,157,116674587
37,arrow,164,157,116674599
38,arrow,162,159,116674612
39,arrow,159,159,116674625
40,arrow,156,160,116674638
41,arrow,151,161,116674652
42,arrow,144,162,116674665
43,arrow,141,162,116674679
44,arrow,138,162,116674680
45,arrow,135,163,116674694
46,arrow,130,163,116674709
47,arrow,125,162,116674724
48,arrow,123,163,116674738
49,arrow,121,162,116674739
50,arrow,119,163,116674754
51,arrow,116,162,116674771
52,arrow,119,162,116674844
53,arrow,121,162,116674860
54,arrow,127,162,116674876
55,arrow,133,161,116674893
56,arrow,139,162,116674910
57,arrow,146,162,116674927
58,arrow,152,161,116674945
59,arrow,159,159,116674963
60,arrow,167,156,116674981
61,arrow,172,154,116674999
62,arrow,176,153,116675017
63,arrow,179,152,116675035
64,arrow,181,151,116675052
65,arrow,180,154,116675140
66,arrow,178,156,116675180
67,arrow,177,159,116675200
68,arrow,177,161,116675219
69,arrow,176,163,116675220
70,arrow,176,168,116675240
71,arrow,175,178,116675260
72,arrow,174,187,116675281
73,arrow,174,192,116675301
74,arrow,175,197,116675321
75,arrow,175,199,116675342
76,arrow,176,202,116675362
77,arrow,178,200,116675383
