idx,label,x,y,timestamp
0,arrow,36,206,202389738
1,arrow,38,206,202389743
2,arrow,40,206,202389748
3,arrow,43,206,202389753
4,arrow,46,207,202389754
5,arrow,49,207,202389760
6,arrow,57,207,202389766
7,arrow,61,206,202389772
8,arrow,71,205,202389779
9,arrow,76,205,202389785
10,arrow,81,204,202389786
11,arrow,87,204,202389793
12,arrow,93,203,202389795
13,arrow,105,202,202389802
14,arrow,118,202,202389810
15,arrow,129,201,202389818
16,arrow,140,200,202389827
17,arrow,150,200,202389836
18,arrow,158,200,202389845
19,arrow,164,199,202389853
20,arrow,167,199,202389854
21,arrow,169,199,202389864
22,arrow,172,199,202389873
23,arrow,175,199,202389882
24,arrow,171,198,202389930
25,arrow,168,197,202389940
26,arrow,160,195,202389950
27,arrow,154,193,202389961
28,arrow,144,190,202389971
29,arrow,135,187,202389982
30,arrow,129,185,202389993
31,arrow,126,184,202389994
32,arrow,121,180,202390006
33,arrow,119,178,202390007
34,arrow,111,176,202390019
35,arrow,105,174,202390031
36,arrow,102,173,202390043
37,arrow,99,172,202390055
38,arrow,97,172,202390068
39,arrow,99,172,202390086
40,arrow,102,174,202390099
41,arrow,110,176,202390114
42,arrow,112,178,202390115
43,arrow,120,181,202390129
44,arrow,133,187,202390143
45,arrow,147,191,202390158
46,arrow,157,196,202390173
47,arrow,167,200,202390188
48,arrow,173,204,202390203
49,arrow,175,207,202390218
50,arrow,173,210,202390235
51,arrow,165,212,202390251
52,arrow,154,214,202390267
53,arrow,143,217,202390283
54,arrow,134,220,202390299
55,arrow,128,223,202390315
