idx,label,x,y,timestamp
0,caret,91,225,268380081
1,caret,92,228,268380093
2,caret,94,229,268380130
3,caret,96,225,268380142
4,caret,98,221,268380150
5,caret,99,218,268380156
6,caret,101,213,268380163
7,caret,102,210,268380169
8,caret,103,207,268380170
9,caret,104,205,268380177
10,caret,105,201,268380178
11,caret,106,198,268380186
12,caret,107,194,268380187
13,caret,109,188,268380195
14,caret,112,182,268380203
15,caret,115,177,268380211
16,caret,117,172,268380220
17,caret,120,167,268380229
18,caret,122,163,268380237
19,caret,124,159,268380247
20,caret,126,156,268380256
21,caret,127,154,268380265
22,caret,129,152,268380275
23,caret,130,149,268380284
24,caret,129,152,268380332
25,caret,129,155,268380342
26,caret,129,159,268380353
27,caret,132,167,268380364
28,caret,134,173,268380376
29,caret,136,176,268380377
30,caret,140,185,268380389
31,caret,144,195,268380401
32,caret,149,204,268380413
33,caret,154,213,268380426
34,caret,158,219,268380439
35,caret,161,225,268380451
36,caret,164,231,268380464
37,caret,165,233,268380477
38,caret,167,235,268380490
39,caret,167,238,268380503
