idx,label,x,y,timestamp
0,caret,87,246,1268441
1,caret,88,244,1268450
2,caret,89,241,1268455
3,caret,90,239,1268461
4,caret,92,235,1268467
5,caret,94,232,1268473
6,caret,96,226,1268479
7,caret,100,220,1268486
8,caret,101,216,1268493
9,caret,105,209,1268500
10,caret,109,201,1268507
11,caret,113,193,1268515
12,caret,117,182,1268522
13,caret,120,171,1268530
14,caret,123,161,1268539
15,caret,126,152,1268547
16,caret,128,145,1268555
17,caret,130,139,1268564
18,caret,132,135,1268573
19,caret,133,131,1268582
20,caret,134,129,1268592
21,caret,136,128,1268606
22,caret,138,130,1268622
23,caret,140,134,1268631
24,caret,143,141,1268642
25,caret,144,146,1268643
26,caret,148,160,1268654
27,caret,152,171,1268665
28,caret,153,178,1268666
29,caret,158,198,1268679
30,caret,162,213,1268691
31,caret,166,225,1268703
32,caret,170,235,1268715
33,caret,172,238,1268727
34,caret,176,244,1268739
