idx,label,x,y,timestamp
0,caret,61,225,121320631
1,caret,63,223,121320749
2,caret,64,221,121320757
3,caret,66,219,121320774
4,caret,68,217,121320781
5,caret,70,214,121320793
6,caret,71,212,121320802
7,caret,73,210,121320810
8,caret,74,207,121320818
9,caret,76,205,121320826
10,caret,78,202,121320834
11,caret,80,199,121320842
12,caret,82,196,121320850
13,caret,84,193,121320858
14,caret,85,191,121320859
15,caret,88,187,121320867
16,caret,90,182,121320875
17,caret,93,177,121320884
18,caret,95,174,121320893
19,caret,97,170,121320901
20,caret,99,167,121320910
21,caret,100,164,121320920
22,caret,102,161,121320929
23,caret,106,155,121320939
24,caret,107,152,121320949
25,caret,109,149,121320959
26,caret,110,146,121320969
27,caret,112,144,121320970
28,caret,113,141,121320982
29,caret,113,139,121320994
30,caret,114,136,121321013
31,caret,114,134,121321037
32,caret,116,135,121321155
33,caret,118,138,121321172
34,caret,118,140,121321184
35,caret,119,143,121321196
36,caret,120,148,121321209
37,caret,121,150,121321221
38,caret,123,154,121321235
39,caret,126,161,121321248
40,caret,130,166,121321261
41,caret,134,173,121321277
42,caret,136,177,121321291
43,caret,139,183,121321305
44,caret,142,189,121321320
45,caret,145,194,121321334
46,caret,147,196,121321348
47,caret,149,201,121321364
48,caret,150,203,121321384
49,caret,153,208,121321399
50,caret,154,211,121321415
51,caret,155,215,121321430
52,caret,157,217,121321446
53,caret,158,220,121321467
54,caret,158,222,121321483
55,caret,159,224,121321500
56,caret,159,226,121321516
57,caret,159,229,121321546
58,caret,160,231,121321588
