idx,label,x,y,timestamp
0,caret,65,261,253235892
1,caret,67,259,253235900
2,caret,70,256,253235909
3,caret,72,254,253235914
4,caret,75,250,253235920
5,caret,81,242,253235926
6,caret,84,238,253235932
7,caret,87,233,253235933
8,caret,93,224,253235942
9,caret,98,213,253235949
10,caret,101,209,253235957
11,caret,103,203,253235958
12,caret,108,192,253235967
13,caret,112,182,253235975
14,caret,115,173,253235983
15,caret,118,167,253235992
16,caret,119,165,253236000
17,caret,122,163,253236001
18,caret,124,162,253236012
19,caret,129,168,253236021
20,caret,132,176,253236033
21,caret,134,181,253236034
22,caret,139,202,253236048
23,caret,141,221,253236060
24,caret,141,228,253236061
25,caret,141,241,253236076
26,caret,141,246,253236077
27,caret,141,254,253236092
28,caret,140,261,253236106
29,caret,140,264,253236120
