idx,label,x,y,timestamp
0,caret,57,229,119671263
1,caret,58,227,119671283
2,caret,60,224,119671295
3,caret,62,222,119671307
4,caret,63,219,119671315
5,caret,65,216,119671323
6,caret,66,213,119671330
7,caret,69,210,119671336
8,caret,71,206,119671343
9,caret,72,203,119671350
10,caret,74,201,119671357
11,caret,77,198,119671364
12,caret,80,193,119671371
13,caret,81,191,119671379
14,caret,82,188,119671387
15,caret,83,185,119671395
16,caret,83,182,119671404
17,caret,84,179,119671413
18,caret,83,177,119671424
19,caret,83,174,119671432
20,caret,83,172,119671445
21,caret,84,169,119671458
22,caret,84,167,119671469
23,caret,85,163,119671479
24,caret,86,159,119671488
25,caret,87,156,119671498
26,caret,88,152,119671508
27,caret,90,147,119671519
28,caret,91,145,119671529
29,caret,93,142,119671540
30,caret,95,137,119671551
31,caret,96,135,119671563
32,caret,98,130,119671574
33,caret,100,127,119671586
34,caret,102,122,119671598
35,caret,104,120,119671610
36,caret,105,117,119671623
37,caret,107,114,119671636
38,caret,109,114,119671792
39,caret,110,116,119671837
40,caret,110,119,119671850
41,caret,111,126,119671864
42,caret,111,128,119671865
43,caret,111,138,119671879
44,caret,113,153,119671894
45,caret,114,165,119671908
46,caret,115,169,119671909
47,caret,117,180,119671925
48,caret,118,184,119671926
49,caret,122,195,119671941
50,caret,125,202,119671957
51,caret,130,209,119671972
52,caret,135,214,119671988
53,caret,140,218,119672004
54,caret,144,222,119672020
55,caret,147,222,119672037
56,caret,149,223,119672053
57,caret,152,223,119672070
