idx,label,x,y,timestamp
0,caret,59,240,117670618
1,caret,61,238,117670679
2,caret,61,236,117670695
3,caret,63,234,117670730
4,caret,64,232,117670751
5,caret,65,230,117670763
6,caret,65,228,117670775
7,caret,67,226,117670796
8,caret,69,224,117670812
9,caret,70,221,117670824
10,caret,71,219,117670841
11,caret,72,217,117670857
12,caret,73,215,117670865
13,caret,75,213,117670893
14,caret,77,211,117670913
15,caret,78,208,117670934
16,caret,79,206,117670950
17,caret,81,203,117670975
18,caret,82,201,117670990
19,caret,82,199,117671003
20,caret,84,197,117671019
21,caret,86,194,117671043
22,caret,87,192,117671064
23,caret,88,190,117671075
24,caret,89,187,117671095
25,caret,90,185,117671111
26,caret,92,183,117671139
27,caret,93,181,117671155
28,caret,94,179,117671171
29,caret,95,177,117671187
30,caret,96,175,117671203
31,caret,98,172,117671227
32,caret,99,170,117671252
33,caret,100,168,117671264
34,caret,102,166,117671285
35,caret,102,163,117671298
36,caret,104,161,117671319
37,caret,104,159,117671331
38,caret,106,157,117671351
39,caret,107,155,117671364
40,caret,108,152,117671388
41,caret,109,150,117671401
42,caret,110,148,117671428
43,caret,111,146,117671456
44,caret,112,144,117671469
45,caret,113,141,117671484
46,caret,114,139,117671528
47,caret,115,137,117671552
48,caret,117,137,117671705
49,caret,118,139,117671745
50,caret,119,141,117671777
51,caret,122,142,117671809
52,caret,122,144,117671825
53,caret,124,147,117671849
54,caret,126,149,117671893
55,caret,126,151,117671909
56,caret,127,153,117671929
57,caret,128,155,117671945
58,caret,128,158,117671966
59,caret,130,159,117672002
60,caret,131,162,117672019
61,caret,132,164,117672036
62,caret,132,166,117672053
63,caret,134,168,117672071
64,caret,135,170,117672094
65,caret,137,173,117672127
66,caret,138,175,117672145
67,caret,140,177,117672164
68,caret,141,179,117672184
69,caret,142,182,117672202
70,caret,144,184,117672222
71,caret,145,186,117672241
72,caret,147,189,117672260
73,caret,149,191,117672280
74,caret,150,195,117672300
75,caret,151,197,117672320
76,caret,152,199,117672340
77,caret,153,201,117672360
78,caret,155,204,117672381
79,caret,157,208,117672404
80,caret,158,210,117672425
81,caret,160,212,117672447
82,caret,162,216,117672469
83,caret,163,218,117672495
84,caret,166,223,117672517
85,caret,168,225,117672539
86,caret,169,228,117672566
87,caret,170,230,117672589
88,caret,171,232,117672613
89,caret,173,235,117672637
90,caret,174,237,117672660
91,caret,176,239,117672687
92,caret,177,242,117672723
93,caret,179,244,117672761
94,caret,180,246,117672789
95,caret,182,248,117672830
96,caret,184,250,117672882
97,caret,184,252,117672914
