idx,label,x,y,timestamp
0,caret,19,261,123537682
1,caret,20,258,123537694
2,caret,22,256,123537706
3,caret,23,254,123537718
4,caret,26,252,123537730
5,caret,28,250,123537739
6,caret,30,248,123537747
7,caret,32,244,123537755
8,caret,35,242,123537763
9,caret,38,240,123537771
10,caret,39,238,123537778
11,caret,42,235,123537785
12,caret,45,232,123537792
13,caret,48,228,123537800
14,caret,51,225,123537808
15,caret,54,223,123537816
16,caret,58,220,123537824
17,caret,60,218,123537832
18,caret,65,212,123537841
19,caret,67,210,123537850
20,caret,70,207,123537851
21,caret,73,204,123537863
22,caret,75,202,123537864
23,caret,78,197,123537875
24,caret,80,195,123537886
25,caret,86,190,123537896
26,caret,88,187,123537907
27,caret,92,183,123537918
28,caret,96,178,123537928
29,caret,98,177,123537940
30,caret,100,174,123537951
31,caret,102,172,123537952
32,caret,105,169,123537966
33,caret,107,167,123537979
34,caret,109,165,123537991
35,caret,110,163,123538004
36,caret,112,161,123538016
37,caret,114,158,123538029
38,caret,116,156,123538042
39,caret,117,154,123538056
40,caret,119,154,123538071
41,caret,121,152,123538096
42,caret,123,150,123538120
43,caret,124,148,123538152
44,caret,126,149,123538276
45,caret,128,149,123538296
46,caret,130,150,123538312
47,caret,132,153,123538328
48,caret,134,155,123538343
49,caret,136,160,123538359
50,caret,139,166,123538374
51,caret,141,173,123538390
52,caret,143,178,123538407
53,caret,146,185,123538423
54,caret,149,190,123538439
55,caret,152,197,123538456
56,caret,154,203,123538473
57,caret,158,213,123538491
58,caret,160,221,123538508
59,caret,164,225,123538526
60,caret,167,231,123538544
61,caret,169,234,123538545
62,caret,172,239,123538565
63,caret,177,243,123538583
64,caret,179,246,123538584
65,caret,183,251,123538605
66,caret,188,257,123538624
67,caret,191,258,123538644
68,caret,192,260,123538645
69,caret,194,261,123538666
70,caret,196,264,123538686
71,caret,196,262,123538715
