idx,label,x,y,timestamp
0,caret,68,249,124525281
1,caret,68,247,124525297
2,caret,70,245,124525535
3,caret,71,243,124525571
4,caret,73,242,124525606
5,caret,73,240,124525623
6,caret,75,237,124525647
7,caret,77,236,124525691
8,caret,78,234,124525703
9,caret,79,232,124525722
10,caret,80,229,124525746
11,caret,82,227,124525783
12,caret,83,225,124525804
13,caret,85,223,124525828
14,caret,85,221,124525845
15,caret,86,219,124525866
16,caret,87,217,124525894
17,caret,89,214,124525914
18,caret,90,212,124525938
19,caret,91,210,124525958
20,caret,92,208,124525982
21,caret,94,205,124526010
22,caret,95,203,124526039
23,caret,97,200,124526059
24,caret,98,197,124526084
25,caret,100,196,124526120
26,caret,101,194,124526132
27,caret,102,192,124526152
28,caret,103,189,124526164
29,caret,104,187,124526184
30,caret,105,185,124526200
31,caret,106,182,124526223
32,caret,106,180,124526248
33,caret,107,178,124526262
34,caret,109,176,124526284
35,caret,110,174,124526305
36,caret,110,172,124526325
37,caret,111,169,124526350
38,caret,111,167,124526374
39,caret,113,165,124526446
40,caret,113,163,124526475
41,caret,114,161,124526491
42,caret,115,159,124526588
43,caret,117,160,124526786
44,caret,117,162,124526806
45,caret,117,164,124526822
46,caret,119,166,124526858
47,caret,120,168,124526878
48,caret,121,171,124526914
49,caret,122,173,124526934
50,caret,122,175,124526958
51,caret,122,177,124526978
52,caret,123,179,124527003
53,caret,124,181,124527031
54,caret,125,184,124527052
55,caret,125,186,124527072
56,caret,127,188,124527109
57,caret,128,190,124527136
58,caret,130,192,124527173
59,caret,131,195,124527217
60,caret,132,197,124527238
61,caret,133,199,124527266
62,caret,134,201,124527287
63,caret,135,204,124527311
64,caret,135,206,124527329
65,caret,137,209,124527363
66,caret,138,211,124527384
67,caret,138,213,124527404
68,caret,139,215,124527424
69,caret,140,217,124527444
70,caret,141,221,124527464
71,caret,143,223,124527484
72,caret,144,227,124527504
73,caret,146,230,124527525
74,caret,147,232,124527551
75,caret,148,235,124527575
76,caret,149,237,124527604
77,caret,150,239,124527628
78,caret,151,241,124527649
79,caret,153,242,124527696
80,caret,155,244,124527751
