idx,label,x,y,timestamp
0,check,62,202,118827988
1,check,64,204,118828063
2,check,66,204,118828100
3,check,68,205,118828121
4,check,70,205,118828141
5,check,72,206,118828165
6,check,74,206,118828181
7,check,76,208,118828197
8,check,79,209,118828213
9,check,81,210,118828231
10,check,83,211,118828245
11,check,85,212,118828262
12,check,87,214,118828278
13,check,90,215,118828298
14,check,92,217,118828315
15,check,94,219,118828327
16,check,96,220,118828344
17,check,98,221,118828359
18,check,100,223,118828376
19,check,102,225,118828392
20,check,103,228,118828405
21,check,105,230,118828424
22,check,107,233,118828441
23,check,108,235,118828457
24,check,110,237,118828474
25,check,112,240,118828486
26,check,114,242,118828506
27,check,114,244,118828518
28,check,116,246,118828542
29,check,117,248,118828554
30,check,119,245,118828643
31,check,119,243,118828656
32,check,119,240,118828672
33,check,119,238,118828689
34,check,120,235,118828701
35,check,120,233,118828713
36,check,120,231,118828726
37,check,121,227,118828738
38,check,122,225,118828751
39,check,123,223,118828764
40,check,125,218,118828777
41,check,126,215,118828791
42,check,129,210,118828804
43,check,132,205,118828818
44,check,133,203,118828833
45,check,135,199,118828834
46,check,137,196,118828848
47,check,138,193,118828849
48,check,140,191,118828864
49,check,141,189,118828865
50,check,143,186,118828881
51,check,147,181,118828896
52,check,148,178,118828912
53,check,152,174,118828928
54,check,157,170,118828944
55,check,160,165,118828960
56,check,165,161,118828977
57,check,170,155,118828994
58,check,175,151,118829012
59,check,178,149,118829014
60,check,182,145,118829031
61,check,184,144,118829048
62,check,186,142,118829050
63,check,189,140,118829067
64,check,190,138,118829085
