idx,label,x,y,timestamp
0,check,79,201,116746882
1,check,81,200,116746952
2,check,82,198,116746972
3,check,84,196,116746997
4,check,86,196,116747018
5,check,89,195,116747038
6,check,91,194,116747055
7,check,93,193,116747067
8,check,96,193,116747087
9,check,98,193,116747107
10,check,100,194,116747127
11,check,102,194,116747148
12,check,104,195,116747168
13,check,106,196,116747193
14,check,108,198,116747213
15,check,110,199,116747242
16,check,111,201,116747264
17,check,113,203,116747296
18,check,114,205,116747316
19,check,116,207,116747348
20,check,118,209,116747368
21,check,120,211,116747401
22,check,122,213,116747433
23,check,123,215,116747453
24,check,124,218,116747473
25,check,126,218,116747581
26,check,126,216,116747607
27,check,126,213,116747623
28,check,127,211,116747634
29,check,127,209,116747644
30,check,127,207,116747655
31,check,128,205,116747666
32,check,128,202,116747679
33,check,129,200,116747691
34,check,130,198,116747703
35,check,132,194,116747714
36,check,133,192,116747727
37,check,136,187,116747739
38,check,138,185,116747752
39,check,140,183,116747764
40,check,141,181,116747777
41,check,142,179,116747790
42,check,145,176,116747791
43,check,146,174,116747805
44,check,150,168,116747819
45,check,153,166,116747833
46,check,157,163,116747847
47,check,161,159,116747862
48,check,166,155,116747877
49,check,170,153,116747895
50,check,174,151,116747910
51,check,178,147,116747926
52,check,181,145,116747942
53,check,186,143,116747957
54,check,188,141,116747973
55,check,190,142,116747989
56,check,195,140,116748005
57,check,197,140,116748021
58,check,199,139,116748037
59,check,201,137,116748054
60,check,203,138,116748071
61,check,205,137,116748088
62,check,207,137,116748115
63,check,209,137,116748142
