idx,label,x,y,timestamp
0,check,68,213,118815038
1,check,70,211,118815082
2,check,72,211,118815123
3,check,74,209,118815147
4,check,76,209,118815167
5,check,79,208,118815187
6,check,81,208,118815211
7,check,83,208,118815235
8,check,85,209,118815255
9,check,87,210,118815276
10,check,89,209,118815300
11,check,91,210,118815324
12,check,94,211,118815348
13,check,96,213,118815368
14,check,98,213,118815389
15,check,100,214,118815414
16,check,102,215,118815438
17,check,104,217,118815462
18,check,106,218,118815482
19,check,108,220,118815501
20,check,110,221,118815525
21,check,112,224,118815550
22,check,114,226,118815573
23,check,115,228,118815590
24,check,115,230,118815602
25,check,117,232,118815630
26,check,118,234,118815654
27,check,119,236,118815670
28,check,120,238,118815682
29,check,122,240,118815710
30,check,123,242,118815731
31,check,123,244,118815747
32,check,124,246,118815758
33,check,125,248,118815779
34,check,126,250,118815804
35,check,126,252,118815833
36,check,127,254,118815854
37,check,127,257,118815885
38,check,128,254,118815995
39,check,129,252,118816008
40,check,129,249,118816021
41,check,130,247,118816035
42,check,131,245,118816048
43,check,132,242,118816062
44,check,134,237,118816076
45,check,135,235,118816090
46,check,137,231,118816105
47,check,139,226,118816120
48,check,142,222,118816134
49,check,146,216,118816150
50,check,150,211,118816166
51,check,153,206,118816181
52,check,158,201,118816201
53,check,162,195,118816217
54,check,166,191,118816233
55,check,169,185,118816249
56,check,173,181,118816266
57,check,175,178,118816283
58,check,179,175,118816300
59,check,181,173,118816317
60,check,183,170,118816334
61,check,185,168,118816351
62,check,189,164,118816369
63,check,191,162,118816388
64,check,195,159,118816406
65,check,197,156,118816427
66,check,199,155,118816448
67,check,201,153,118816467
