idx,label,x,y,timestamp
0,check,97,202,88649396
1,check,99,201,88649433
2,check,101,203,88649445
3,check,103,204,88649454
4,check,106,206,88649461
5,check,109,208,88649470
6,check,112,211,88649478
7,check,114,213,88649484
8,check,118,216,88649491
9,check,121,220,88649498
10,check,123,222,88649505
11,check,126,227,88649512
12,check,128,229,88649519
13,check,131,235,88649527
14,check,133,238,88649535
15,check,134,241,88649542
16,check,136,243,88649562
17,check,137,241,88649594
18,check,137,238,88649602
19,check,138,235,88649611
20,check,139,230,88649620
21,check,141,225,88649630
22,check,141,223,88649631
23,check,143,216,88649640
24,check,147,204,88649651
25,check,150,195,88649661
26,check,154,186,88649672
27,check,159,175,88649683
28,check,162,168,88649693
29,check,164,165,88649694
30,check,168,159,88649706
31,check,170,156,88649707
32,check,175,148,88649718
33,check,179,141,88649730
34,check,184,136,88649742
35,check,186,133,88649755
36,check,190,129,88649767
37,check,193,127,88649779
38,check,195,127,88649796
