idx,label,x,y,timestamp
0,check,95,204,118853737
1,check,98,205,118853753
2,check,101,208,118853765
3,check,103,209,118853773
4,check,106,211,118853781
5,check,109,213,118853790
6,check,112,214,118853798
7,check,115,217,118853806
8,check,118,221,118853814
9,check,121,224,118853822
10,check,123,227,118853830
11,check,126,230,118853838
12,check,128,234,118853846
13,check,129,237,118853855
14,check,131,240,118853862
15,check,131,243,118853870
16,check,131,246,118853878
17,check,131,249,118853886
18,check,131,252,118853898
19,check,131,254,118853907
20,check,131,256,118853915
21,check,130,258,118853924
22,check,130,260,118853943
23,check,130,263,118853959
24,check,131,261,118854056
25,check,132,258,118854089
26,check,134,255,118854101
27,check,135,253,118854112
28,check,138,247,118854123
29,check,141,239,118854134
30,check,146,230,118854145
31,check,152,219,118854157
32,check,159,209,118854169
33,check,167,199,118854181
34,check,174,190,118854194
35,check,181,183,118854206
36,check,186,179,118854219
37,check,193,173,118854232
38,check,195,170,118854244
39,check,198,168,118854245
40,check,200,166,118854258
