idx,label,x,y,timestamp
0,check,95,194,268277721
1,check,98,192,268277741
2,check,100,192,268277749
3,check,102,192,268277757
4,check,105,193,268277766
5,check,108,195,268277774
6,check,110,196,268277780
7,check,115,199,268277787
8,check,117,200,268277793
9,check,119,202,268277794
10,check,124,205,268277803
11,check,129,208,268277811
12,check,134,211,268277819
13,check,136,212,268277827
14,check,139,215,268277835
15,check,142,217,268277843
16,check,144,220,268277851
17,check,144,222,268277866
18,check,142,223,268277894
19,check,140,222,268277910
20,check,139,219,268277919
21,check,139,216,268277928
22,check,140,212,268277938
23,check,140,210,268277939
24,check,142,203,268277949
25,check,147,192,268277959
26,check,152,184,268277969
27,check,154,179,268277970
28,check,160,171,268277981
29,check,163,167,268277982
30,check,168,159,268277994
31,check,171,156,268277995
32,check,178,147,268278006
33,check,185,139,268278018
34,check,190,134,268278030
35,check,193,131,268278042
36,check,195,129,268278055
