idx,label,x,y,timestamp
0,check,89,183,848745
1,check,92,182,848838
2,check,94,181,848858
3,check,95,179,848867
4,check,98,177,848878
5,check,100,176,848890
6,check,102,175,848902
7,check,104,174,848914
8,check,106,174,848930
9,check,109,174,848946
10,check,111,175,848958
11,check,113,176,848970
12,check,114,178,848978
13,check,115,180,848987
14,check,117,183,848998
15,check,118,186,849006
16,check,119,189,849014
17,check,121,192,849026
18,check,122,194,849034
19,check,123,197,849044
20,check,124,199,849054
21,check,124,202,849055
22,check,126,205,849065
23,check,127,208,849076
24,check,128,210,849086
25,check,130,213,849097
26,check,132,218,849109
27,check,134,220,849122
28,check,135,222,849134
29,check,135,225,849154
30,check,135,222,849194
31,check,134,219,849210
32,check,133,216,849223
33,check,133,212,849235
34,check,133,208,849248
35,check,133,200,849261
36,check,133,197,849263
37,check,133,191,849276
38,check,136,179,849291
39,check,139,173,849305
40,check,142,167,849321
41,check,145,163,849323
42,check,150,155,849339
43,check,152,151,849353
44,check,157,144,849367
45,check,162,140,849381
46,check,165,134,849395
47,check,169,127,849410
48,check,172,122,849427
49,check,175,117,849442
50,check,176,114,849458
51,check,177,112,849473
52,check,178,109,849474
53,check,178,107,849510
54,check,178,109,849535
