idx,label,x,y,timestamp
0,check,59,211,123336813
1,check,61,211,123336825
2,check,63,211,123336837
3,check,65,210,123336849
4,check,67,212,123336862
5,check,68,215,123336870
6,check,69,217,123336878
7,check,71,220,123336886
8,check,72,222,123336893
9,check,73,226,123336899
10,check,75,229,123336907
11,check,77,233,123336915
12,check,78,237,123336924
13,check,80,241,123336931
14,check,82,243,123336943
15,check,84,244,123336952
16,check,86,245,123336965
17,check,89,245,123336981
18,check,91,242,123336993
19,check,93,240,123337002
20,check,95,236,123337011
21,check,97,233,123337020
22,check,100,229,123337030
23,check,103,225,123337039
24,check,111,214,123337050
25,check,118,209,123337060
26,check,130,195,123337071
27,check,144,183,123337082
28,check,153,174,123337092
29,check,158,169,123337094
30,check,172,155,123337105
31,check,182,147,123337117
32,check,186,143,123337118
33,check,200,134,123337130
34,check,212,126,123337142
35,check,220,121,123337155
36,check,223,120,123337167
