idx,label,x,y,timestamp
0,check,85,211,11593462
1,check,87,210,11593494
2,check,89,211,11593526
3,check,90,213,11593546
4,check,92,214,11593558
5,check,95,216,11593570
6,check,97,219,11593578
7,check,98,221,11593586
8,check,100,223,11593594
9,check,102,225,11593602
10,check,103,228,11593610
11,check,105,230,11593619
12,check,107,233,11593630
13,check,108,235,11593643
14,check,109,237,11593651
15,check,111,238,11593671
16,check,112,240,11593687
17,check,114,238,11593756
18,check,114,236,11593769
19,check,114,234,11593778
20,check,115,232,11593789
21,check,116,229,11593800
22,check,117,226,11593810
23,check,118,224,11593820
24,check,119,221,11593831
25,check,122,216,11593841
26,check,124,213,11593853
27,check,126,210,11593864
28,check,128,207,11593865
29,check,131,201,11593876
30,check,132,199,11593887
31,check,134,195,11593888
32,check,136,192,11593901
33,check,140,185,11593913
34,check,142,181,11593926
35,check,148,176,11593939
36,check,153,170,11593953
37,check,156,167,11593966
38,check,161,162,11593980
39,check,165,157,11593994
40,check,169,152,11594011
41,check,171,149,11594025
42,check,173,147,11594039
43,check,175,145,11594040
44,check,176,143,11594056
45,check,179,139,11594071
46,check,181,137,11594087
47,check,182,135,11594103
48,check,184,133,11594119
49,check,185,129,11594136
50,check,187,127,11594177
