idx,label,x,y,timestamp
0,check,81,194,843768
1,check,82,192,843779
2,check,84,191,843800
3,check,86,190,843811
4,check,88,190,843823
5,check,90,192,843831
6,check,93,193,843839
7,check,95,193,843847
8,check,98,195,843855
9,check,100,198,843863
10,check,102,201,843871
11,check,104,202,843879
12,check,105,204,843886
13,check,107,208,843894
14,check,110,211,843903
15,check,111,214,843912
16,check,113,216,843921
17,check,114,219,843929
18,check,116,222,843938
19,check,117,224,843946
20,check,118,227,843955
21,check,119,229,843964
22,check,120,227,844026
23,check,120,224,844035
24,check,120,221,844045
25,check,119,218,844055
26,check,119,214,844066
27,check,118,211,844067
28,check,118,203,844080
29,check,119,196,844091
30,check,121,190,844102
31,check,123,184,844114
32,check,124,181,844115
33,check,128,174,844129
34,check,133,168,844141
35,check,134,166,844142
36,check,139,159,844157
37,check,144,153,844170
38,check,150,146,844183
39,check,153,143,844196
40,check,157,137,844209
41,check,161,133,844222
42,check,162,130,844237
43,check,162,128,844251
44,check,164,126,844282
