idx,label,x,y,timestamp
0,circle,132,152,267969725
1,circle,131,150,267969777
2,circle,130,148,267969789
3,circle,129,146,267969796
4,circle,127,144,267969805
5,circle,124,144,267969813
6,circle,122,143,267969821
7,circle,120,142,267969829
8,circle,118,142,267969837
9,circle,116,142,267969845
10,circle,113,143,267969853
11,circle,110,144,267969861
12,circle,107,146,267969869
13,circle,104,148,267969877
14,circle,102,150,267969886
15,circle,99,152,267969894
16,circle,96,155,267969902
17,circle,94,158,267969910
18,circle,93,160,267969918
19,circle,91,163,267969927
20,circle,88,170,267969936
21,circle,88,172,267969937
22,circle,87,177,267969947
23,circle,87,183,267969956
24,circle,87,186,267969957
25,circle,87,191,267969967
26,circle,89,198,267969978
27,circle,91,203,267969988
28,circle,94,209,267969999
29,circle,98,217,267970010
30,circle,100,222,267970021
31,circle,107,227,267970033
32,circle,110,230,267970045
33,circle,112,231,267970046
34,circle,119,235,267970058
35,circle,125,235,267970070
36,circle,132,235,267970082
37,circle,139,235,267970095
38,circle,145,230,267970108
39,circle,147,229,267970109
40,circle,153,224,267970123
41,circle,159,217,267970136
42,circle,163,209,267970150
43,circle,167,200,267970164
44,circle,169,194,267970178
45,circle,170,186,267970192
46,circle,169,179,267970206
47,circle,168,176,267970221
48,circle,167,173,267970222
49,circle,166,169,267970237
50,circle,165,166,267970238
51,circle,163,165,267970253
52,circle,160,162,267970268
53,circle,158,162,267970284
54,circle,153,161,267970300
55,circle,151,160,267970316
56,circle,149,159,267970334
57,circle,148,156,267970375
