idx,label,x,y,timestamp
0,circle,116,137,118710953
1,circle,114,137,118711097
2,circle,112,136,118711137
3,circle,110,136,118711169
4,circle,108,136,118711194
5,circle,106,135,118711218
6,circle,104,135,118711238
7,circle,101,136,118711266
8,circle,99,137,118711287
9,circle,97,137,118711307
10,circle,95,138,118711327
11,circle,93,137,118711351
12,circle,91,139,118711376
13,circle,89,139,118711404
14,circle,87,141,118711435
15,circle,86,143,118711472
16,circle,84,145,118711513
17,circle,82,146,118711551
18,circle,81,148,118711574
19,circle,79,150,118711610
20,circle,77,152,118711646
21,circle,76,154,118711670
22,circle,75,156,118711698
23,circle,74,158,118711722
24,circle,73,161,118711747
25,circle,73,163,118711779
26,circle,72,165,118711808
27,circle,72,168,118711832
28,circle,71,170,118711848
29,circle,71,173,118711864
30,circle,72,175,118711893
31,circle,72,177,118711918
32,circle,72,179,118711930
33,circle,72,181,118711942
34,circle,72,183,118711955
35,circle,72,185,118711967
36,circle,72,188,118711983
37,circle,73,190,118711999
38,circle,73,192,118712012
39,circle,73,194,118712024
40,circle,74,197,118712043
41,circle,75,199,118712062
42,circle,75,201,118712083
43,circle,76,203,118712099
44,circle,77,206,118712123
45,circle,78,208,118712139
46,circle,78,210,118712159
47,circle,79,212,118712175
48,circle,80,215,118712195
49,circle,81,217,118712211
50,circle,81,219,118712226
51,circle,82,221,118712243
52,circle,84,223,118712264
53,circle,85,226,118712284
54,circle,86,228,118712300
55,circle,87,230,118712316
56,circle,89,232,118712333
57,circle,90,234,118712349
58,circle,92,237,118712366
59,circle,93,239,118712383
60,circle,95,242,118712408
61,circle,96,244,118712425
62,circle,98,246,118712448
63,circle,99,248,118712468
64,circle,101,250,118712492
65,circle,102,252,118712516
66,circle,103,254,118712534
67,circle,105,255,118712561
68,circle,107,257,118712585
69,circle,109,259,118712617
70,circle,111,260,118712645
71,circle,113,262,118712673
72,circle,115,263,118712705
73,circle,117,264,118712742
74,circle,119,264,118712770
75,circle,121,264,118712795
76,circle,123,265,118712823
77,circle,125,265,118712850
78,circle,127,265,118712879
79,circle,129,266,118712900
80,circle,131,265,118712922
81,circle,133,265,118712943
82,circle,136,266,118712966
83,circle,138,264,118712990
84,circle,142,265,118713013
85,circle,144,265,118713035
86,circle,146,264,118713058
87,circle,148,264,118713080
88,circle,150,263,118713104
89,circle,152,261,118713127
90,circle,154,260,118713150
91,circle,156,260,118713152
92,circle,159,258,118713175
93,circle,161,257,118713200
94,circle,163,256,118713224
95,circle,165,254,118713249
96,circle,167,252,118713274
97,circle,169,251,118713298
98,circle,170,248,118713323
99,circle,172,247,118713349
100,circle,174,245,118713374
101,circle,177,241,118713401
102,circle,179,238,118713428
103,circle,181,236,118713454
104,circle,183,232,118713481
105,circle,184,229,118713508
106,circle,185,227,118713535
107,circle,186,224,118713562
108,circle,187,220,118713590
109,circle,188,218,118713619
110,circle,189,213,118713652
111,circle,189,208,118713685
112,circle,189,204,118713714
113,circle,189,202,118713742
114,circle,188,198,118713770
115,circle,188,194,118713799
116,circle,187,192,118713828
117,circle,185,190,118713857
118,circle,183,185,118713887
119,circle,181,181,118713916
120,circle,180,179,118713946
121,circle,177,174,118713976
122,circle,176,172,118714009
123,circle,174,170,118714039
124,circle,173,167,118714069
125,circle,172,165,118714101
126,circle,170,163,118714132
127,circle,166,159,118714164
128,circle,164,157,118714195
129,circle,162,155,118714226
130,circle,160,154,118714258
131,circle,156,152,118714291
132,circle,154,151,118714323
133,circle,150,149,118714356
134,circle,146,147,118714390
135,circle,141,143,118714423
136,circle,134,140,118714456
137,circle,132,139,118714492
