idx,label,x,y,timestamp
0,circle,126,140,1154653
1,circle,122,138,1154660
2,circle,120,138,1154666
3,circle,115,139,1154673
4,circle,113,139,1154679
5,circle,110,138,1154681
6,circle,105,139,1154689
7,circle,102,141,1154696
8,circle,100,142,1154697
9,circle,96,145,1154706
10,circle,92,151,1154714
11,circle,89,157,1154722
12,circle,86,164,1154730
13,circle,84,172,1154739
14,circle,83,181,1154748
15,circle,83,186,1154749
16,circle,83,195,1154758
17,circle,85,208,1154768
18,circle,87,216,1154778
19,circle,93,225,1154788
20,circle,98,230,1154798
21,circle,107,234,1154809
22,circle,113,234,1154819
23,circle,124,234,1154830
24,circle,134,230,1154841
25,circle,140,226,1154852
26,circle,143,224,1154853
27,circle,151,216,1154866
28,circle,158,207,1154878
29,circle,163,197,1154891
30,circle,167,185,1154903
31,circle,168,172,1154915
32,circle,167,168,1154916
33,circle,164,155,1154929
34,circle,159,145,1154943
35,circle,151,135,1154956
36,circle,145,132,1154970
37,circle,139,132,1154983
38,circle,136,133,1154985
39,circle,132,135,1155001
