idx,label,x,y,timestamp
0,circle,144,129,88580969
1,circle,142,129,88580993
2,circle,140,129,88581005
3,circle,137,129,88581014
4,circle,134,129,88581022
5,circle,131,130,88581030
6,circle,128,132,88581038
7,circle,126,133,88581045
8,circle,124,134,88581051
9,circle,118,139,88581058
10,circle,116,141,88581065
11,circle,114,143,88581066
12,circle,112,145,88581074
13,circle,110,147,88581075
14,circle,106,151,88581083
15,circle,103,157,88581091
16,circle,100,162,88581099
17,circle,97,169,88581108
18,circle,96,176,88581116
19,circle,95,184,88581125
20,circle,95,187,88581126
21,circle,96,194,88581136
22,circle,97,201,88581145
23,circle,98,203,88581146
24,circle,100,208,88581156
25,circle,103,214,88581167
26,circle,107,219,88581177
27,circle,112,222,88581187
28,circle,115,223,88581198
29,circle,119,224,88581209
30,circle,125,225,88581220
31,circle,129,224,88581232
32,circle,137,221,88581243
33,circle,143,217,88581255
34,circle,147,214,88581267
35,circle,154,210,88581279
36,circle,158,203,88581292
37,circle,161,198,88581305
38,circle,166,190,88581318
39,circle,167,187,88581319
40,circle,170,181,88581332
41,circle,173,171,88581347
42,circle,175,164,88581361
43,circle,175,159,88581375
44,circle,174,155,88581388
45,circle,173,150,88581403
46,circle,170,145,88581417
47,circle,167,143,88581432
48,circle,162,140,88581447
49,circle,159,137,88581463
50,circle,157,135,88581478
51,circle,155,132,88581494
52,circle,153,130,88581518
