idx,label,x,y,timestamp
0,circle,144,167,121614985
1,circle,141,165,121614993
2,circle,138,165,121615001
3,circle,135,165,121615010
4,circle,133,165,121615019
5,circle,129,165,121615026
6,circle,127,165,121615032
7,circle,123,165,121615038
8,circle,121,165,121615045
9,circle,116,167,121615051
10,circle,111,170,121615059
11,circle,108,171,121615065
12,circle,106,172,121615067
13,circle,101,177,121615074
14,circle,99,181,121615082
15,circle,96,183,121615083
16,circle,92,191,121615092
17,circle,88,199,121615100
18,circle,86,207,121615109
19,circle,85,212,121615110
20,circle,83,221,121615119
21,circle,83,230,121615129
22,circle,84,241,121615139
23,circle,86,248,121615149
24,circle,90,256,121615159
25,circle,94,259,121615169
26,circle,101,262,121615179
27,circle,109,263,121615190
28,circle,115,263,121615201
29,circle,124,259,121615212
30,circle,131,255,121615224
31,circle,140,248,121615238
32,circle,144,243,121615250
33,circle,145,241,121615251
34,circle,151,231,121615263
35,circle,156,222,121615276
36,circle,161,214,121615289
37,circle,165,206,121615301
38,circle,166,203,121615303
39,circle,168,196,121615316
40,circle,170,190,121615329
41,circle,170,186,121615330
42,circle,172,179,121615345
43,circle,172,170,121615359
44,circle,171,164,121615373
45,circle,168,158,121615388
46,circle,164,154,121615402
47,circle,162,154,121615417
48,circle,156,153,121615433
49,circle,150,154,121615448
50,circle,145,156,121615463
51,circle,140,158,121615479
52,circle,134,159,121615495
53,circle,130,162,121615511
54,circle,126,166,121615527
