idx,label,x,y,timestamp
0,circle,141,156,123386507
1,circle,139,153,123386516
2,circle,137,150,123386527
3,circle,135,147,123386535
4,circle,132,144,123386543
5,circle,129,143,123386551
6,circle,125,142,123386559
7,circle,123,140,123386565
8,circle,118,138,123386572
9,circle,116,138,123386578
10,circle,113,136,123386579
11,circle,108,135,123386588
12,circle,102,135,123386596
13,circle,97,135,123386604
14,circle,93,136,123386612
15,circle,88,139,123386620
16,circle,84,142,123386628
17,circle,80,146,123386637
18,circle,77,150,123386646
19,circle,73,156,123386655
20,circle,72,159,123386656
21,circle,69,169,123386667
22,circle,68,177,123386677
23,circle,68,185,123386687
24,circle,68,189,123386688
25,circle,69,199,123386699
26,circle,69,204,123386700
27,circle,74,220,123386713
28,circle,80,235,123386724
29,circle,88,248,123386736
30,circle,96,257,123386748
31,circle,104,263,123386760
32,circle,113,266,123386772
33,circle,122,267,123386784
34,circle,131,266,123386796
35,circle,141,263,123386809
36,circle,150,258,123386822
37,circle,153,256,123386823
38,circle,160,249,123386838
39,circle,162,246,123386839
40,circle,168,235,123386855
41,circle,169,232,123386856
42,circle,171,217,123386872
43,circle,168,201,123386887
44,circle,163,189,123386902
45,circle,155,172,123386917
46,circle,151,166,123386932
47,circle,149,164,123386946
48,circle,146,164,123386961
