idx,label,x,y,timestamp
0,circle,132,149,118727168
1,circle,123,142,118727173
2,circle,121,140,118727180
3,circle,120,138,118727235
4,circle,119,140,118727271
5,circle,117,139,118727308
6,circle,115,138,118727333
7,circle,113,140,118727361
8,circle,110,141,118727385
9,circle,108,141,118727409
10,circle,106,140,118727441
11,circle,104,142,118727465
12,circle,102,142,118727490
13,circle,100,143,118727515
14,circle,98,144,118727540
15,circle,96,146,118727564
16,circle,94,147,118727589
17,circle,92,148,118727617
18,circle,90,150,118727641
19,circle,88,151,118727670
20,circle,86,153,118727694
21,circle,85,155,118727711
22,circle,83,156,118727738
23,circle,81,158,118727771
24,circle,79,159,118727807
25,circle,77,162,118727839
26,circle,75,163,118727879
27,circle,74,166,118727903
28,circle,72,168,118727940
29,circle,71,170,118727968
30,circle,70,173,118728004
31,circle,69,175,118728056
32,circle,68,177,118728080
33,circle,68,179,118728108
34,circle,67,182,118728137
35,circle,66,185,118728159
36,circle,65,187,118728182
37,circle,65,189,118728194
38,circle,65,191,118728218
39,circle,64,193,118728235
40,circle,64,195,118728251
41,circle,63,198,118728271
42,circle,63,200,118728295
43,circle,63,203,118728309
44,circle,63,205,118728323
45,circle,63,207,118728337
46,circle,64,209,118728351
47,circle,64,211,118728366
48,circle,64,216,118728381
49,circle,65,218,118728399
50,circle,66,220,118728415
51,circle,66,222,118728430
52,circle,68,225,118728446
53,circle,69,227,118728462
54,circle,70,232,118728478
55,circle,71,234,118728494
56,circle,73,236,118728510
57,circle,74,238,118728527
58,circle,76,240,118728544
59,circle,77,243,118728561
60,circle,79,245,118728578
61,circle,81,248,118728595
62,circle,83,249,118728613
63,circle,86,254,118728631
64,circle,89,254,118728649
65,circle,93,258,118728668
66,circle,95,260,118728686
67,circle,99,263,118728705
68,circle,102,263,118728727
69,circle,104,264,118728728
70,circle,106,265,118728748
71,circle,110,266,118728768
72,circle,112,268,118728788
73,circle,116,269,118728808
74,circle,118,269,118728829
75,circle,123,270,118728850
76,circle,125,269,118728870
77,circle,128,269,118728891
78,circle,132,268,118728911
79,circle,134,268,118728932
80,circle,136,267,118728953
81,circle,138,266,118728974
82,circle,140,265,118728975
83,circle,143,265,118728997
84,circle,145,263,118729019
85,circle,149,261,118729042
86,circle,151,260,118729064
87,circle,154,259,118729086
88,circle,156,258,118729109
89,circle,160,254,118729135
90,circle,164,250,118729160
91,circle,166,248,118729185
92,circle,170,244,118729209
93,circle,174,239,118729242
94,circle,176,235,118729267
95,circle,178,232,118729292
96,circle,180,227,118729318
97,circle,181,223,118729346
98,circle,181,221,118729371
99,circle,181,216,118729396
100,circle,181,212,118729422
101,circle,181,210,118729450
102,circle,180,205,118729476
103,circle,180,202,118729502
104,circle,179,198,118729529
105,circle,179,196,118729555
106,circle,179,193,118729582
107,circle,178,191,118729609
108,circle,177,188,118729639
109,circle,177,186,118729640
110,circle,175,184,118729668
111,circle,174,182,118729696
112,circle,172,179,118729723
113,circle,170,177,118729756
114,circle,167,174,118729785
115,circle,163,170,118729813
116,circle,161,168,118729845
117,circle,159,166,118729846
118,circle,157,164,118729875
119,circle,155,162,118729904
