idx,label,x,y,timestamp
0,circle,115,164,252638490
1,circle,114,162,252638502
2,circle,112,160,252638519
3,circle,110,161,252638527
4,circle,106,162,252638536
5,circle,104,164,252638542
6,circle,102,165,252638548
7,circle,100,167,252638549
8,circle,95,172,252638557
9,circle,93,176,252638564
10,circle,90,179,252638565
11,circle,86,186,252638574
12,circle,83,197,252638582
13,circle,80,207,252638589
14,circle,79,218,252638597
15,circle,80,228,252638606
16,circle,83,236,252638614
17,circle,87,241,252638623
18,circle,90,242,252638624
19,circle,95,243,252638635
20,circle,98,243,252638636
21,circle,106,239,252638648
22,circle,113,235,252638658
23,circle,121,225,252638669
24,circle,127,218,252638679
25,circle,130,214,252638680
26,circle,137,201,252638693
27,circle,141,191,252638704
28,circle,142,184,252638715
29,circle,141,181,252638716
30,circle,137,172,252638729
31,circle,129,164,252638741
32,circle,120,161,252638753
33,circle,111,160,252638765
34,circle,106,161,252638778
35,circle,103,164,252638790
36,circle,101,166,252638803
37,circle,101,164,252638816
