idx,label,x,y,timestamp
0,circle,150,161,267977845
1,circle,148,162,267977874
2,circle,145,161,267977894
3,circle,143,158,267977911
4,circle,142,156,267977918
5,circle,140,154,267977926
6,circle,137,151,267977938
7,circle,136,149,267977946
8,circle,133,147,267977954
9,circle,131,147,267977962
10,circle,127,146,267977970
11,circle,124,146,267977978
12,circle,121,147,267977986
13,circle,118,149,267977995
14,circle,114,152,267978002
15,circle,113,154,267978010
16,circle,109,157,267978018
17,circle,104,163,267978027
18,circle,101,168,267978036
19,circle,98,173,267978045
20,circle,95,181,267978054
21,circle,94,189,267978063
22,circle,94,195,267978073
23,circle,94,205,267978083
24,circle,96,210,267978093
25,circle,98,220,267978103
26,circle,100,225,267978113
27,circle,101,227,267978114
28,circle,104,232,267978125
29,circle,105,234,267978126
30,circle,106,236,267978137
31,circle,110,239,267978138
32,circle,114,242,267978150
33,circle,116,243,267978151
34,circle,122,247,267978163
35,circle,128,251,267978175
36,circle,135,251,267978188
37,circle,144,253,267978203
38,circle,150,252,267978216
39,circle,156,251,267978229
40,circle,159,249,267978242
41,circle,163,247,267978243
42,circle,167,240,267978257
43,circle,172,233,267978271
44,circle,176,225,267978285
45,circle,179,216,267978300
46,circle,180,208,267978314
47,circle,180,202,267978329
48,circle,180,194,267978345
49,circle,180,189,267978360
50,circle,179,184,267978375
51,circle,177,179,267978391
52,circle,174,177,267978408
53,circle,170,175,267978424
54,circle,168,173,267978439
55,circle,166,171,267978455
56,circle,164,171,267978472
57,circle,162,169,267978490
58,circle,160,169,267978530
