idx,label,x,y,timestamp
0,delete_mark,89,136,88205539
1,delete_mark,89,139,88205651
2,delete_mark,90,141,88205671
3,delete_mark,91,143,88205683
4,delete_mark,93,145,88205700
5,delete_mark,94,147,88205708
6,delete_mark,96,149,88205720
7,delete_mark,98,152,88205732
8,delete_mark,99,155,88205740
9,delete_mark,100,157,88205748
10,delete_mark,101,159,88205756
11,delete_mark,103,161,88205764
12,delete_mark,104,164,88205772
13,delete_mark,105,166,88205780
14,delete_mark,106,169,88205789
15,delete_mark,108,172,88205797
16,delete_mark,109,174,88205805
17,delete_mark,110,176,88205813
18,delete_mark,112,178,88205821
19,delete_mark,114,182,88205830
20,delete_mark,115,184,88205839
21,delete_mark,117,187,88205848
22,delete_mark,119,189,88205858
23,delete_mark,120,191,88205867
24,delete_mark,122,193,88205868
25,delete_mark,124,195,88205880
26,delete_mark,125,199,88205891
27,delete_mark,126,201,88205901
28,delete_mark,130,207,88205912
29,delete_mark,131,209,88205923
30,delete_mark,132,211,88205934
31,delete_mark,134,215,88205945
32,delete_mark,134,217,88205957
33,delete_mark,135,219,88205968
34,delete_mark,137,222,88205981
35,delete_mark,137,224,88205994
36,delete_mark,138,227,88206007
37,delete_mark,139,229,88206023
38,delete_mark,141,232,88206043
39,delete_mark,142,234,88206068
40,delete_mark,143,236,88206081
41,delete_mark,144,239,88206094
42,delete_mark,145,241,88206117
43,delete_mark,146,243,88206136
44,delete_mark,143,243,88206233
45,delete_mark,141,242,88206247
46,delete_mark,139,241,88206262
47,delete_mark,134,241,88206276
48,delete_mark,130,240,88206291
49,delete_mark,125,240,88206306
50,delete_mark,120,239,88206322
51,delete_mark,116,240,88206338
52,delete_mark,112,239,88206354
53,delete_mark,107,240,88206369
54,delete_mark,103,239,88206386
55,delete_mark,99,238,88206402
56,delete_mark,96,237,88206418
57,delete_mark,94,237,88206435
58,delete_mark,92,238,88206452
59,delete_mark,88,236,88206469
60,delete_mark,86,236,88206490
61,delete_mark,84,235,88206536
62,delete_mark,83,233,88206604
63,delete_mark,84,231,88206622
64,delete_mark,85,227,88206640
65,delete_mark,89,221,88206658
66,delete_mark,94,213,88206677
67,delete_mark,101,199,88206697
68,delete_mark,107,188,88206717
69,delete_mark,113,176,88206737
70,delete_mark,117,168,88206757
71,delete_mark,123,157,88206777
72,delete_mark,126,151,88206797
73,delete_mark,131,142,88206818
74,delete_mark,134,137,88206839
75,delete_mark,135,135,88206859
76,delete_mark,137,132,88206879
77,delete_mark,139,130,88206900
78,delete_mark,140,128,88206921
