idx,label,x,y,timestamp
0,delete_mark,107,154,10321539
1,delete_mark,110,155,10321564
2,delete_mark,112,157,10321575
3,delete_mark,115,161,10321588
4,delete_mark,117,163,10321596
5,delete_mark,119,165,10321604
6,delete_mark,122,169,10321612
7,delete_mark,123,171,10321619
8,delete_mark,126,175,10321626
9,delete_mark,130,178,10321633
10,delete_mark,133,182,10321640
11,delete_mark,137,186,10321648
12,delete_mark,140,191,10321656
13,delete_mark,144,195,10321664
14,delete_mark,148,199,10321673
15,delete_mark,149,202,10321681
16,delete_mark,154,208,10321690
17,delete_mark,157,212,10321699
18,delete_mark,159,216,10321708
19,delete_mark,162,219,10321717
20,delete_mark,165,224,10321727
21,delete_mark,166,226,10321736
22,delete_mark,167,229,10321737
23,delete_mark,168,231,10321747
24,delete_mark,169,233,10321757
25,delete_mark,170,235,10321768
26,delete_mark,170,237,10321780
27,delete_mark,168,238,10321836
28,delete_mark,165,237,10321848
29,delete_mark,163,237,10321859
30,delete_mark,160,237,10321870
31,delete_mark,154,235,10321881
32,delete_mark,147,235,10321893
33,delete_mark,141,235,10321905
34,delete_mark,133,235,10321918
35,delete_mark,126,238,10321930
36,delete_mark,119,239,10321943
37,delete_mark,115,240,10321956
38,delete_mark,112,241,10321957
39,delete_mark,107,242,10321970
40,delete_mark,105,242,10321984
41,delete_mark,103,243,10321997
42,delete_mark,100,244,10322011
43,delete_mark,98,245,10322025
44,delete_mark,96,246,10322039
45,delete_mark,94,246,10322054
46,delete_mark,93,243,10322145
47,delete_mark,95,241,10322164
48,delete_mark,97,239,10322179
49,delete_mark,101,234,10322194
50,delete_mark,105,230,10322210
51,delete_mark,114,219,10322226
52,delete_mark,122,207,10322243
53,delete_mark,130,196,10322259
54,delete_mark,138,185,10322276
55,delete_mark,144,177,10322293
56,delete_mark,151,169,10322310
57,delete_mark,155,162,10322327
58,delete_mark,158,157,10322344
59,delete_mark,160,155,10322361
60,delete_mark,162,152,10322379
