idx,label,x,y,timestamp
0,delete_mark,79,137,117416099
1,delete_mark,80,139,117416167
2,delete_mark,82,141,117416195
3,delete_mark,83,144,117416216
4,delete_mark,84,146,117416224
5,delete_mark,87,147,117416240
6,delete_mark,89,148,117416252
7,delete_mark,89,150,117416260
8,delete_mark,91,152,117416276
9,delete_mark,93,154,117416288
10,delete_mark,94,156,117416301
11,delete_mark,95,159,117416313
12,delete_mark,97,161,117416329
13,delete_mark,98,163,117416337
14,delete_mark,99,166,117416354
15,delete_mark,101,168,117416366
16,delete_mark,103,171,117416383
17,delete_mark,104,173,117416395
18,delete_mark,106,176,117416411
19,delete_mark,107,178,117416420
20,delete_mark,109,180,117416436
21,delete_mark,111,182,117416448
22,delete_mark,113,185,117416464
23,delete_mark,115,186,117416480
24,delete_mark,115,188,117416489
25,delete_mark,118,191,117416504
26,delete_mark,119,193,117416516
27,delete_mark,120,195,117416528
28,delete_mark,122,197,117416544
29,delete_mark,123,199,117416556
30,delete_mark,125,202,117416572
31,delete_mark,127,204,117416589
32,delete_mark,128,206,117416600
33,delete_mark,130,208,117416613
34,delete_mark,131,210,117416626
35,delete_mark,133,211,117416644
36,delete_mark,135,214,117416665
37,delete_mark,136,216,117416677
38,delete_mark,138,217,117416698
39,delete_mark,140,220,117416718
40,delete_mark,142,223,117416739
41,delete_mark,143,225,117416767
42,delete_mark,145,227,117416795
43,delete_mark,143,229,117416940
44,delete_mark,140,228,117416956
45,delete_mark,138,229,117416970
46,delete_mark,136,228,117416984
47,delete_mark,132,229,117416999
48,delete_mark,128,229,117417013
49,delete_mark,125,228,117417028
50,delete_mark,123,229,117417043
51,delete_mark,118,229,117417058
52,delete_mark,115,228,117417073
53,delete_mark,113,227,117417089
54,delete_mark,108,226,117417105
55,delete_mark,103,226,117417121
56,delete_mark,101,226,117417137
57,delete_mark,96,227,117417154
58,delete_mark,94,227,117417171
59,delete_mark,92,226,117417188
60,delete_mark,89,227,117417205
61,delete_mark,87,226,117417222
62,delete_mark,83,226,117417239
63,delete_mark,80,227,117417257
64,delete_mark,76,226,117417276
65,delete_mark,74,226,117417294
66,delete_mark,69,227,117417313
67,delete_mark,67,227,117417332
68,delete_mark,65,227,117417351
69,delete_mark,63,228,117417369
70,delete_mark,61,229,117417388
71,delete_mark,59,228,117417408
72,delete_mark,57,228,117417432
73,delete_mark,58,226,117417517
74,delete_mark,60,225,117417538
75,delete_mark,62,223,117417558
76,delete_mark,65,219,117417578
77,delete_mark,69,216,117417599
78,delete_mark,73,211,117417620
79,delete_mark,75,209,117417621
80,delete_mark,79,204,117417645
81,delete_mark,84,199,117417667
82,delete_mark,90,193,117417689
83,delete_mark,94,188,117417711
84,delete_mark,99,183,117417734
85,delete_mark,103,177,117417757
86,delete_mark,105,176,117417758
87,delete_mark,109,172,117417781
88,delete_mark,111,170,117417782
89,delete_mark,115,167,117417805
90,delete_mark,117,164,117417828
91,delete_mark,119,162,117417829
92,delete_mark,121,160,117417853
93,delete_mark,123,158,117417854
94,delete_mark,125,156,117417878
95,delete_mark,129,152,117417902
96,delete_mark,131,149,117417926
97,delete_mark,133,148,117417951
98,delete_mark,136,144,117417975
99,delete_mark,139,141,117418000
100,delete_mark,142,137,117418025
101,delete_mark,144,135,117418061
102,delete_mark,146,133,117418086
