idx,label,x,y,timestamp
0,delete_mark,115,137,1448664
1,delete_mark,115,139,1448682
2,delete_mark,116,142,1448690
3,delete_mark,117,144,1448696
4,delete_mark,120,150,1448703
5,delete_mark,126,158,1448710
6,delete_mark,129,162,1448717
7,delete_mark,133,166,1448718
8,delete_mark,141,174,1448728
9,delete_mark,149,181,1448736
10,delete_mark,156,188,1448745
11,delete_mark,161,193,1448754
12,delete_mark,163,194,1448755
13,delete_mark,166,197,1448765
14,delete_mark,167,199,1448774
15,delete_mark,167,201,1448784
16,delete_mark,165,202,1448798
17,delete_mark,162,202,1448806
18,delete_mark,157,201,1448817
19,delete_mark,147,196,1448827
20,delete_mark,135,194,1448840
21,delete_mark,122,192,1448851
22,delete_mark,111,191,1448863
23,delete_mark,102,195,1448875
24,delete_mark,97,198,1448887
25,delete_mark,91,200,1448900
26,delete_mark,89,201,1448910
27,delete_mark,92,198,1448926
28,delete_mark,96,192,1448939
29,delete_mark,104,185,1448953
30,delete_mark,112,173,1448966
31,delete_mark,115,170,1448967
32,delete_mark,122,161,1448981
33,delete_mark,125,158,1448983
34,delete_mark,135,147,1448998
35,delete_mark,141,141,1449014
36,delete_mark,146,136,1449029
