idx,label,x,y,timestamp
0,delete_mark,113,135,1451990
1,delete_mark,114,139,1451998
2,delete_mark,115,142,1452003
3,delete_mark,117,146,1452009
4,delete_mark,120,152,1452014
5,delete_mark,122,156,1452020
6,delete_mark,127,163,1452026
7,delete_mark,130,166,1452032
8,delete_mark,136,175,1452039
9,delete_mark,139,179,1452045
10,delete_mark,143,182,1452047
11,delete_mark,149,190,1452055
12,delete_mark,155,195,1452063
13,delete_mark,160,200,1452071
14,delete_mark,165,204,1452078
15,delete_mark,168,209,1452086
16,delete_mark,171,211,1452095
17,delete_mark,173,214,1452103
18,delete_mark,175,215,1452115
19,delete_mark,173,214,1452154
20,delete_mark,169,214,1452164
21,delete_mark,162,212,1452174
22,delete_mark,156,212,1452184
23,delete_mark,146,212,1452195
24,delete_mark,138,213,1452205
25,delete_mark,134,213,1452207
26,delete_mark,126,214,1452217
27,delete_mark,122,215,1452218
28,delete_mark,115,216,1452230
29,delete_mark,112,216,1452231
30,delete_mark,103,218,1452243
31,delete_mark,96,220,1452255
32,delete_mark,91,221,1452266
33,delete_mark,88,221,1452278
34,delete_mark,86,220,1452290
35,delete_mark,86,217,1452302
36,delete_mark,89,208,1452315
37,delete_mark,94,200,1452328
38,delete_mark,102,191,1452341
39,delete_mark,104,187,1452343
40,delete_mark,113,176,1452357
41,delete_mark,127,161,1452371
42,delete_mark,137,151,1452385
43,delete_mark,141,148,1452386
44,delete_mark,151,138,1452402
45,delete_mark,154,136,1452403
46,delete_mark,165,128,1452418
47,delete_mark,169,125,1452433
