idx,label,x,y,timestamp
0,delete_mark,60,135,202624939
1,delete_mark,62,137,202624964
2,delete_mark,64,138,202624976
3,delete_mark,66,140,202624983
4,delete_mark,69,141,202624995
5,delete_mark,71,143,202625003
6,delete_mark,73,146,202625012
7,delete_mark,75,150,202625020
8,delete_mark,78,153,202625028
9,delete_mark,81,156,202625036
10,delete_mark,85,158,202625044
11,delete_mark,87,160,202625051
12,delete_mark,89,162,202625052
13,delete_mark,91,164,202625060
14,delete_mark,97,168,202625068
15,delete_mark,101,171,202625077
16,delete_mark,105,176,202625085
17,delete_mark,109,178,202625094
18,delete_mark,113,181,202625103
19,delete_mark,116,183,202625112
20,delete_mark,119,185,202625113
21,delete_mark,122,188,202625122
22,delete_mark,125,190,202625131
23,delete_mark,128,193,202625141
24,delete_mark,131,194,202625151
25,delete_mark,135,198,202625161
26,delete_mark,138,200,202625172
27,delete_mark,139,203,202625187
28,delete_mark,141,205,202625219
29,delete_mark,139,207,202625304
30,delete_mark,136,209,202625316
31,delete_mark,133,208,202625328
32,delete_mark,131,208,202625339
33,delete_mark,125,210,202625351
34,delete_mark,120,210,202625363
35,delete_mark,118,210,202625364
36,delete_mark,110,212,202625377
37,delete_mark,103,213,202625390
38,delete_mark,95,214,202625403
39,delete_mark,86,214,202625417
40,delete_mark,79,213,202625431
41,delete_mark,72,212,202625444
42,delete_mark,69,211,202625458
43,delete_mark,64,211,202625472
44,delete_mark,62,211,202625485
45,delete_mark,60,211,202625499
46,delete_mark,58,210,202625514
47,delete_mark,56,210,202625531
48,delete_mark,54,211,202625545
49,delete_mark,51,210,202625561
50,delete_mark,49,211,202625576
51,delete_mark,50,208,202625690
52,delete_mark,52,206,202625707
53,delete_mark,53,203,202625723
54,delete_mark,57,197,202625739
55,delete_mark,63,185,202625756
56,delete_mark,72,175,202625773
57,delete_mark,84,165,202625790
58,delete_mark,87,163,202625791
59,delete_mark,101,158,202625810
60,delete_mark,116,150,202625828
61,delete_mark,125,147,202625846
62,delete_mark,131,144,202625864
63,delete_mark,133,142,202625916
64,delete_mark,129,142,202625969
