idx,label,x,y,timestamp
0,left_curly_brace,139,134,11269243
1,left_curly_brace,137,133,11269306
2,left_curly_brace,134,131,11269327
3,left_curly_brace,132,132,11269343
4,left_curly_brace,130,132,11269355
5,left_curly_brace,127,132,11269367
6,left_curly_brace,125,132,11269379
7,left_curly_brace,122,133,11269391
8,left_curly_brace,120,134,11269399
9,left_curly_brace,118,136,11269407
10,left_curly_brace,116,137,11269416
11,left_curly_brace,114,139,11269423
12,left_curly_brace,112,141,11269432
13,left_curly_brace,110,142,11269440
14,left_curly_brace,107,143,11269451
15,left_curly_brace,105,146,11269463
16,left_curly_brace,104,148,11269475
17,left_curly_brace,103,150,11269484
18,left_curly_brace,102,152,11269493
19,left_curly_brace,101,155,11269503
20,left_curly_brace,100,158,11269513
21,left_curly_brace,100,161,11269523
22,left_curly_brace,99,164,11269533
23,left_curly_brace,100,167,11269543
24,left_curly_brace,101,170,11269544
25,left_curly_brace,101,173,11269554
26,left_curly_brace,103,177,11269564
27,left_curly_brace,104,179,11269575
28,left_curly_brace,105,182,11269576
29,left_curly_brace,107,185,11269587
30,left_curly_brace,108,187,11269598
31,left_curly_brace,111,192,11269609
32,left_curly_brace,112,194,11269621
33,left_curly_brace,114,196,11269632
34,left_curly_brace,117,199,11269644
35,left_curly_brace,119,200,11269656
36,left_curly_brace,121,201,11269669
37,left_curly_brace,123,202,11269682
38,left_curly_brace,125,204,11269703
39,left_curly_brace,123,203,11269814
40,left_curly_brace,120,203,11269834
41,left_curly_brace,118,204,11269850
42,left_curly_brace,116,204,11269866
43,left_curly_brace,114,205,11269880
44,left_curly_brace,112,205,11269894
45,left_curly_brace,110,204,11269908
46,left_curly_brace,106,205,11269922
47,left_curly_brace,104,206,11269937
48,left_curly_brace,101,207,11269959
49,left_curly_brace,100,209,11269991
50,left_curly_brace,102,209,11270104
51,left_curly_brace,104,209,11270120
52,left_curly_brace,106,208,11270136
53,left_curly_brace,108,208,11270152
54,left_curly_brace,110,208,11270168
55,left_curly_brace,113,208,11270185
56,left_curly_brace,117,206,11270201
57,left_curly_brace,120,206,11270219
58,left_curly_brace,122,206,11270238
59,left_curly_brace,124,205,11270289
60,left_curly_brace,122,204,11270458
61,left_curly_brace,120,205,11270489
62,left_curly_brace,118,207,11270521
63,left_curly_brace,116,208,11270549
64,left_curly_brace,115,210,11270567
65,left_curly_brace,114,212,11270586
66,left_curly_brace,113,214,11270605
67,left_curly_brace,112,219,11270624
68,left_curly_brace,112,223,11270643
69,left_curly_brace,113,231,11270663
70,left_curly_brace,117,239,11270682
71,left_curly_brace,123,247,11270702
72,left_curly_brace,129,251,11270722
73,left_curly_brace,138,255,11270743
74,left_curly_brace,146,257,11270765
75,left_curly_brace,150,256,11270786
76,left_curly_brace,152,255,11270806
77,left_curly_brace,156,251,11270827
78,left_curly_brace,158,249,11270848
