idx,label,x,y,timestamp
0,left_curly_brace,168,147,267847568
1,left_curly_brace,167,144,267847616
2,left_curly_brace,165,142,267847633
3,left_curly_brace,163,140,267847649
4,left_curly_brace,161,139,267847661
5,left_curly_brace,158,140,267847674
6,left_curly_brace,156,141,267847686
7,left_curly_brace,155,143,267847694
8,left_curly_brace,153,146,267847702
9,left_curly_brace,152,149,267847710
10,left_curly_brace,151,153,267847718
11,left_curly_brace,151,156,267847726
12,left_curly_brace,150,159,267847734
13,left_curly_brace,150,162,267847741
14,left_curly_brace,151,164,267847749
15,left_curly_brace,151,167,267847750
16,left_curly_brace,151,172,267847759
17,left_curly_brace,152,177,267847767
18,left_curly_brace,153,182,267847775
19,left_curly_brace,154,186,267847784
20,left_curly_brace,154,191,267847793
21,left_curly_brace,154,193,267847794
22,left_curly_brace,155,198,267847804
23,left_curly_brace,155,202,267847813
24,left_curly_brace,155,205,267847823
25,left_curly_brace,155,208,267847833
26,left_curly_brace,154,212,267847843
27,left_curly_brace,153,215,267847853
28,left_curly_brace,152,217,267847863
29,left_curly_brace,150,219,267847875
30,left_curly_brace,147,219,267847887
31,left_curly_brace,145,220,267847898
32,left_curly_brace,143,221,267847909
33,left_curly_brace,141,222,267847921
34,left_curly_brace,139,220,267847932
35,left_curly_brace,137,221,267847944
36,left_curly_brace,135,221,267847956
37,left_curly_brace,133,218,267847969
38,left_curly_brace,131,217,267847981
39,left_curly_brace,130,214,267847994
40,left_curly_brace,129,212,267848007
41,left_curly_brace,129,215,267848139
42,left_curly_brace,130,217,267848160
43,left_curly_brace,132,219,267848188
44,left_curly_brace,135,219,267848204
45,left_curly_brace,137,220,267848218
46,left_curly_brace,139,220,267848233
47,left_curly_brace,144,223,267848247
48,left_curly_brace,148,226,267848262
49,left_curly_brace,150,228,267848277
50,left_curly_brace,154,235,267848292
51,left_curly_brace,155,239,267848314
52,left_curly_brace,154,247,267848329
53,left_curly_brace,152,252,267848345
54,left_curly_brace,151,258,267848361
55,left_curly_brace,150,260,267848377
56,left_curly_brace,150,263,267848392
57,left_curly_brace,150,265,267848409
58,left_curly_brace,151,269,267848427
59,left_curly_brace,156,272,267848445
60,left_curly_brace,158,273,267848462
61,left_curly_brace,165,272,267848481
62,left_curly_brace,169,272,267848500
63,left_curly_brace,174,271,267848519
64,left_curly_brace,176,269,267848537
