idx,label,x,y,timestamp
0,left_curly_brace,130,124,87650585
1,left_curly_brace,130,122,87650597
2,left_curly_brace,128,120,87650621
3,left_curly_brace,125,120,87650633
4,left_curly_brace,123,119,87650645
5,left_curly_brace,121,118,87650653
6,left_curly_brace,118,119,87650661
7,left_curly_brace,115,121,87650669
8,left_curly_brace,112,123,87650677
9,left_curly_brace,109,125,87650685
10,left_curly_brace,106,127,87650693
11,left_curly_brace,104,130,87650701
12,left_curly_brace,103,133,87650709
13,left_curly_brace,103,136,87650717
14,left_curly_brace,103,138,87650725
15,left_curly_brace,103,142,87650732
16,left_curly_brace,104,144,87650740
17,left_curly_brace,107,147,87650749
18,left_curly_brace,109,149,87650762
19,left_curly_brace,112,150,87650771
20,left_curly_brace,115,151,87650779
21,left_curly_brace,118,153,87650788
22,left_curly_brace,120,155,87650797
23,left_curly_brace,122,156,87650807
24,left_curly_brace,124,159,87650817
25,left_curly_brace,125,164,87650827
26,left_curly_brace,124,167,87650836
27,left_curly_brace,123,170,87650847
28,left_curly_brace,121,173,87650857
29,left_curly_brace,119,176,87650858
30,left_curly_brace,116,177,87650870
31,left_curly_brace,114,178,87650881
32,left_curly_brace,112,180,87650892
33,left_curly_brace,110,180,87650904
34,left_curly_brace,109,182,87650954
35,left_curly_brace,111,183,87650975
36,left_curly_brace,113,183,87650988
37,left_curly_brace,116,184,87651000
38,left_curly_brace,119,185,87651013
39,left_curly_brace,123,189,87651026
40,left_curly_brace,126,193,87651039
41,left_curly_brace,127,201,87651053
42,left_curly_brace,128,204,87651067
43,left_curly_brace,126,212,87651081
44,left_curly_brace,122,220,87651097
45,left_curly_brace,116,228,87651112
46,left_curly_brace,111,235,87651126
47,left_curly_brace,108,240,87651141
48,left_curly_brace,108,246,87651156
49,left_curly_brace,109,248,87651171
50,left_curly_brace,112,251,87651185
51,left_curly_brace,116,252,87651201
52,left_curly_brace,122,252,87651217
53,left_curly_brace,131,248,87651233
54,left_curly_brace,137,245,87651249
