idx,label,x,y,timestamp
0,left_curly_brace,131,144,253091064
1,left_curly_brace,129,145,253091106
2,left_curly_brace,126,147,253091114
3,left_curly_brace,123,149,253091122
4,left_curly_brace,119,152,253091130
5,left_curly_brace,117,155,253091136
6,left_curly_brace,116,158,253091141
7,left_curly_brace,114,161,253091142
8,left_curly_brace,112,164,253091149
9,left_curly_brace,109,170,253091155
10,left_curly_brace,108,175,253091162
11,left_curly_brace,108,178,253091169
12,left_curly_brace,108,182,253091170
13,left_curly_brace,109,185,253091178
14,left_curly_brace,110,187,253091179
15,left_curly_brace,113,190,253091187
16,left_curly_brace,116,192,253091195
17,left_curly_brace,120,194,253091203
18,left_curly_brace,122,194,253091211
19,left_curly_brace,126,194,253091220
20,left_curly_brace,129,195,253091229
21,left_curly_brace,132,195,253091238
22,left_curly_brace,134,195,253091247
23,left_curly_brace,134,198,253091262
24,left_curly_brace,133,200,253091271
25,left_curly_brace,131,204,253091281
26,left_curly_brace,130,206,253091282
27,left_curly_brace,127,211,253091293
28,left_curly_brace,125,213,253091294
29,left_curly_brace,121,217,253091305
30,left_curly_brace,117,221,253091316
31,left_curly_brace,111,226,253091327
32,left_curly_brace,109,227,253091338
33,left_curly_brace,111,228,253091492
34,left_curly_brace,110,231,253091528
35,left_curly_brace,109,233,253091540
36,left_curly_brace,107,238,253091541
37,left_curly_brace,105,245,253091554
38,left_curly_brace,103,252,253091567
39,left_curly_brace,103,259,253091580
40,left_curly_brace,107,266,253091593
41,left_curly_brace,113,267,253091606
42,left_curly_brace,120,268,253091620
43,left_curly_brace,122,268,253091621
44,left_curly_brace,131,269,253091637
45,left_curly_brace,137,270,253091651
46,left_curly_brace,143,269,253091666
47,left_curly_brace,147,267,253091680
48,left_curly_brace,149,267,253091695
