idx,label,x,y,timestamp
0,left_curly_brace,129,129,117094911
1,left_curly_brace,127,129,117094947
2,left_curly_brace,125,130,117094975
3,left_curly_brace,123,130,117094995
4,left_curly_brace,121,130,117095023
5,left_curly_brace,119,131,117095047
6,left_curly_brace,117,133,117095075
7,left_curly_brace,115,134,117095095
8,left_curly_brace,113,136,117095119
9,left_curly_brace,111,138,117095156
10,left_curly_brace,109,140,117095189
11,left_curly_brace,108,143,117095205
12,left_curly_brace,108,145,117095217
13,left_curly_brace,107,147,117095249
14,left_curly_brace,107,149,117095269
15,left_curly_brace,108,151,117095298
16,left_curly_brace,108,153,117095323
17,left_curly_brace,108,155,117095338
18,left_curly_brace,108,157,117095358
19,left_curly_brace,108,160,117095379
20,left_curly_brace,108,162,117095391
21,left_curly_brace,108,164,117095411
22,left_curly_brace,109,167,117095431
23,left_curly_brace,109,169,117095443
24,left_curly_brace,110,171,117095460
25,left_curly_brace,110,173,117095480
26,left_curly_brace,111,176,117095500
27,left_curly_brace,111,178,117095520
28,left_curly_brace,112,181,117095536
29,left_curly_brace,112,183,117095560
30,left_curly_brace,111,186,117095572
31,left_curly_brace,111,188,117095592
32,left_curly_brace,110,190,117095608
33,left_curly_brace,108,192,117095625
34,left_curly_brace,107,194,117095637
35,left_curly_brace,106,197,117095649
36,left_curly_brace,105,199,117095662
37,left_curly_brace,103,200,117095695
38,left_curly_brace,102,202,117095724
39,left_curly_brace,101,204,117095904
40,left_curly_brace,103,205,117095952
41,left_curly_brace,105,205,117095981
42,left_curly_brace,107,206,117096013
43,left_curly_brace,109,208,117096046
44,left_curly_brace,111,210,117096086
45,left_curly_brace,112,212,117096122
46,left_curly_brace,113,214,117096155
47,left_curly_brace,114,217,117096187
48,left_curly_brace,115,219,117096240
49,left_curly_brace,116,222,117096265
50,left_curly_brace,116,224,117096281
51,left_curly_brace,117,226,117096313
52,left_curly_brace,117,228,117096329
53,left_curly_brace,117,230,117096356
54,left_curly_brace,117,233,117096376
55,left_curly_brace,118,235,117096416
56,left_curly_brace,119,237,117096441
57,left_curly_brace,120,239,117096466
58,left_curly_brace,120,241,117096486
59,left_curly_brace,122,244,117096515
60,left_curly_brace,123,246,117096543
61,left_curly_brace,125,249,117096575
62,left_curly_brace,125,251,117096592
63,left_curly_brace,127,251,117096623
64,left_curly_brace,129,254,117096647
65,left_curly_brace,131,255,117096672
66,left_curly_brace,133,255,117096690
67,left_curly_brace,135,255,117096708
68,left_curly_brace,138,256,117096726
69,left_curly_brace,142,256,117096746
70,left_curly_brace,144,254,117096765
71,left_curly_brace,146,254,117096785
72,left_curly_brace,148,254,117096805
73,left_curly_brace,150,252,117096824
74,left_curly_brace,152,250,117096856
75,left_curly_brace,154,248,117096905
