idx,label,x,y,timestamp
0,left_curly_brace,128,127,125403245
1,left_curly_brace,129,130,125403281
2,left_curly_brace,129,133,125403297
3,left_curly_brace,129,135,125403305
4,left_curly_brace,129,138,125403313
5,left_curly_brace,129,141,125403321
6,left_curly_brace,129,144,125403329
7,left_curly_brace,129,147,125403337
8,left_curly_brace,128,149,125403344
9,left_curly_brace,128,152,125403350
10,left_curly_brace,129,154,125403358
11,left_curly_brace,129,157,125403365
12,left_curly_brace,129,159,125403384
13,left_curly_brace,126,161,125403433
14,left_curly_brace,124,162,125403442
15,left_curly_brace,122,162,125403454
16,left_curly_brace,119,161,125403465
17,left_curly_brace,117,163,125403473
18,left_curly_brace,115,163,125403483
19,left_curly_brace,112,163,125403493
20,left_curly_brace,110,163,125403503
21,left_curly_brace,104,164,125403513
22,left_curly_brace,101,164,125403524
23,left_curly_brace,98,165,125403535
24,left_curly_brace,91,168,125403545
25,left_curly_brace,89,170,125403556
26,left_curly_brace,86,171,125403566
27,left_curly_brace,84,172,125403576
28,left_curly_brace,82,175,125403577
29,left_curly_brace,79,177,125403589
30,left_curly_brace,78,179,125403600
31,left_curly_brace,77,182,125403612
32,left_curly_brace,76,185,125403623
33,left_curly_brace,76,189,125403635
34,left_curly_brace,77,191,125403647
35,left_curly_brace,79,192,125403659
36,left_curly_brace,82,194,125403672
37,left_curly_brace,84,194,125403684
38,left_curly_brace,87,193,125403685
39,left_curly_brace,91,193,125403699
40,left_curly_brace,97,193,125403713
41,left_curly_brace,104,195,125403726
42,left_curly_brace,107,195,125403740
43,left_curly_brace,113,197,125403754
44,left_curly_brace,119,199,125403768
45,left_curly_brace,121,199,125403782
46,left_curly_brace,123,201,125403797
47,left_curly_brace,122,205,125403812
48,left_curly_brace,119,210,125403827
49,left_curly_brace,113,212,125403843
50,left_curly_brace,107,217,125403859
51,left_curly_brace,102,220,125403874
52,left_curly_brace,98,224,125403891
53,left_curly_brace,95,225,125403907
54,left_curly_brace,94,228,125403923
55,left_curly_brace,95,230,125403950
56,left_curly_brace,97,230,125403966
57,left_curly_brace,101,234,125403983
58,left_curly_brace,105,237,125404000
59,left_curly_brace,109,241,125404017
60,left_curly_brace,110,243,125404018
61,left_curly_brace,110,248,125404036
62,left_curly_brace,108,259,125404055
63,left_curly_brace,108,264,125404073
64,left_curly_brace,114,269,125404091
