idx,label,x,y,timestamp
0,left_curly_brace,139,135,202018917
1,left_curly_brace,137,132,202018945
2,left_curly_brace,134,132,202018957
3,left_curly_brace,132,133,202018965
4,left_curly_brace,129,133,202018974
5,left_curly_brace,126,133,202018982
6,left_curly_brace,123,135,202018989
7,left_curly_brace,119,138,202018997
8,left_curly_brace,116,140,202019005
9,left_curly_brace,113,143,202019013
10,left_curly_brace,109,146,202019021
11,left_curly_brace,108,148,202019028
12,left_curly_brace,105,151,202019036
13,left_curly_brace,103,154,202019043
14,left_curly_brace,101,158,202019051
15,left_curly_brace,100,160,202019060
16,left_curly_brace,100,163,202019068
17,left_curly_brace,100,166,202019076
18,left_curly_brace,100,168,202019084
19,left_curly_brace,101,171,202019094
20,left_curly_brace,101,173,202019102
21,left_curly_brace,102,175,202019111
22,left_curly_brace,104,177,202019121
23,left_curly_brace,107,178,202019134
24,left_curly_brace,110,180,202019143
25,left_curly_brace,112,181,202019153
26,left_curly_brace,115,181,202019163
27,left_curly_brace,118,180,202019173
28,left_curly_brace,120,181,202019174
29,left_curly_brace,122,181,202019186
30,left_curly_brace,124,180,202019202
31,left_curly_brace,122,181,202019253
32,left_curly_brace,119,181,202019265
33,left_curly_brace,117,182,202019276
34,left_curly_brace,115,183,202019288
35,left_curly_brace,113,183,202019289
36,left_curly_brace,110,185,202019302
37,left_curly_brace,106,186,202019315
38,left_curly_brace,103,188,202019328
39,left_curly_brace,101,189,202019340
40,left_curly_brace,99,189,202019341
41,left_curly_brace,98,191,202019355
42,left_curly_brace,101,191,202019398
43,left_curly_brace,103,189,202019411
44,left_curly_brace,109,188,202019425
45,left_curly_brace,114,188,202019439
46,left_curly_brace,116,188,202019453
47,left_curly_brace,118,189,202019468
48,left_curly_brace,118,191,202019483
49,left_curly_brace,118,194,202019497
50,left_curly_brace,117,196,202019513
51,left_curly_brace,104,214,202019551
52,left_curly_brace,92,243,202019598
53,left_curly_brace,112,251,202019644
54,left_curly_brace,137,240,202019691
