idx,label,x,y,timestamp
0,left_sq_bracket,112,125,117506814
1,left_sq_bracket,110,126,117506847
2,left_sq_bracket,108,125,117506868
3,left_sq_bracket,106,126,117506888
4,left_sq_bracket,104,125,117506904
5,left_sq_bracket,102,126,117506921
6,left_sq_bracket,100,125,117506937
7,left_sq_bracket,98,126,117506949
8,left_sq_bracket,96,125,117506965
9,left_sq_bracket,93,127,117506981
10,left_sq_bracket,91,127,117506993
11,left_sq_bracket,89,126,117507009
12,left_sq_bracket,87,127,117507026
13,left_sq_bracket,85,126,117507041
14,left_sq_bracket,83,126,117507058
15,left_sq_bracket,81,126,117507075
16,left_sq_bracket,79,127,117507100
17,left_sq_bracket,77,128,117507140
18,left_sq_bracket,75,130,117507225
19,left_sq_bracket,75,133,117507240
20,left_sq_bracket,75,135,117507249
21,left_sq_bracket,75,138,117507260
22,left_sq_bracket,75,141,117507272
23,left_sq_bracket,75,143,117507281
24,left_sq_bracket,75,145,117507291
25,left_sq_bracket,75,148,117507301
26,left_sq_bracket,75,150,117507312
27,left_sq_bracket,75,152,117507313
28,left_sq_bracket,75,155,117507325
29,left_sq_bracket,75,158,117507336
30,left_sq_bracket,75,160,117507347
31,left_sq_bracket,75,163,117507358
32,left_sq_bracket,76,168,117507369
33,left_sq_bracket,76,170,117507380
34,left_sq_bracket,76,173,117507392
35,left_sq_bracket,76,176,117507404
36,left_sq_bracket,76,181,117507416
37,left_sq_bracket,77,184,117507428
38,left_sq_bracket,77,187,117507441
39,left_sq_bracket,77,190,117507453
40,left_sq_bracket,77,193,117507466
41,left_sq_bracket,77,197,117507479
42,left_sq_bracket,77,202,117507493
43,left_sq_bracket,78,204,117507506
44,left_sq_bracket,78,208,117507520
45,left_sq_bracket,78,212,117507534
46,left_sq_bracket,79,217,117507548
47,left_sq_bracket,79,219,117507563
48,left_sq_bracket,79,222,117507577
49,left_sq_bracket,79,225,117507591
50,left_sq_bracket,79,227,117507592
51,left_sq_bracket,80,229,117507608
52,left_sq_bracket,80,232,117507609
53,left_sq_bracket,80,234,117507624
54,left_sq_bracket,80,239,117507642
55,left_sq_bracket,80,242,117507660
56,left_sq_bracket,80,246,117507679
57,left_sq_bracket,80,248,117507696
58,left_sq_bracket,80,251,117507712
59,left_sq_bracket,80,253,117507729
60,left_sq_bracket,80,255,117507746
61,left_sq_bracket,80,257,117507763
62,left_sq_bracket,80,259,117507789
63,left_sq_bracket,81,262,117507838
64,left_sq_bracket,82,264,117507898
65,left_sq_bracket,84,264,117507942
66,left_sq_bracket,86,264,117507965
67,left_sq_bracket,88,264,117507985
68,left_sq_bracket,90,264,117508003
69,left_sq_bracket,92,264,117508022
70,left_sq_bracket,94,263,117508040
71,left_sq_bracket,96,263,117508060
72,left_sq_bracket,98,263,117508079
73,left_sq_bracket,100,263,117508098
74,left_sq_bracket,102,263,117508118
75,left_sq_bracket,105,263,117508138
76,left_sq_bracket,107,263,117508159
77,left_sq_bracket,109,264,117508179
78,left_sq_bracket,111,264,117508200
79,left_sq_bracket,116,264,117508220
80,left_sq_bracket,118,265,117508241
81,left_sq_bracket,120,263,117508262
82,left_sq_bracket,122,264,117508284
83,left_sq_bracket,124,263,117508306
84,left_sq_bracket,126,263,117508333
85,left_sq_bracket,128,263,117508361
86,left_sq_bracket,130,263,117508389
87,left_sq_bracket,132,264,117508425
