idx,label,x,y,timestamp
0,left_sq_bracket,152,120,88277376
1,left_sq_bracket,150,118,88277384
2,left_sq_bracket,148,116,88277407
3,left_sq_bracket,146,118,88277449
4,left_sq_bracket,144,118,88277468
5,left_sq_bracket,142,119,88277481
6,left_sq_bracket,140,121,88277493
7,left_sq_bracket,137,121,88277501
8,left_sq_bracket,135,120,88277509
9,left_sq_bracket,133,120,88277517
10,left_sq_bracket,130,121,88277525
11,left_sq_bracket,127,122,88277533
12,left_sq_bracket,124,122,88277542
13,left_sq_bracket,121,122,88277549
14,left_sq_bracket,119,122,88277557
15,left_sq_bracket,116,122,88277565
16,left_sq_bracket,114,122,88277573
17,left_sq_bracket,112,121,88277582
18,left_sq_bracket,110,122,88277591
19,left_sq_bracket,108,121,88277601
20,left_sq_bracket,105,122,88277613
21,left_sq_bracket,103,122,88277629
22,left_sq_bracket,101,121,88277658
23,left_sq_bracket,100,123,88277739
24,left_sq_bracket,99,126,88277762
25,left_sq_bracket,100,129,88277782
26,left_sq_bracket,100,131,88277794
27,left_sq_bracket,100,134,88277804
28,left_sq_bracket,101,139,88277815
29,left_sq_bracket,101,142,88277826
30,left_sq_bracket,101,144,88277827
31,left_sq_bracket,102,149,88277838
32,left_sq_bracket,102,152,88277849
33,left_sq_bracket,103,155,88277850
34,left_sq_bracket,104,162,88277863
35,left_sq_bracket,105,166,88277875
36,left_sq_bracket,106,171,88277887
37,left_sq_bracket,108,180,88277900
38,left_sq_bracket,109,182,88277913
39,left_sq_bracket,112,190,88277926
40,left_sq_bracket,112,192,88277927
41,left_sq_bracket,113,196,88277940
42,left_sq_bracket,116,204,88277954
43,left_sq_bracket,117,207,88277968
44,left_sq_bracket,118,215,88277982
45,left_sq_bracket,118,222,88277999
46,left_sq_bracket,117,225,88278013
47,left_sq_bracket,117,227,88278014
48,left_sq_bracket,117,230,88278029
49,left_sq_bracket,117,233,88278044
50,left_sq_bracket,117,235,88278070
51,left_sq_bracket,119,233,88278159
52,left_sq_bracket,121,233,88278175
53,left_sq_bracket,124,232,88278192
54,left_sq_bracket,126,232,88278208
55,left_sq_bracket,129,231,88278224
56,left_sq_bracket,134,230,88278240
57,left_sq_bracket,138,230,88278257
58,left_sq_bracket,143,230,88278274
59,left_sq_bracket,145,230,88278275
60,left_sq_bracket,149,229,88278293
61,left_sq_bracket,152,230,88278310
62,left_sq_bracket,157,230,88278328
63,left_sq_bracket,160,231,88278346
64,left_sq_bracket,162,231,88278364
65,left_sq_bracket,164,230,88278382
66,left_sq_bracket,166,229,88278404
