idx,label,x,y,timestamp
0,left_sq_bracket,118,160,11545538
1,left_sq_bracket,116,160,11545567
2,left_sq_bracket,113,158,11545591
3,left_sq_bracket,111,160,11545607
4,left_sq_bracket,108,159,11545619
5,left_sq_bracket,106,159,11545632
6,left_sq_bracket,103,159,11545640
7,left_sq_bracket,101,160,11545648
8,left_sq_bracket,99,160,11545656
9,left_sq_bracket,97,159,11545664
10,left_sq_bracket,94,161,11545673
11,left_sq_bracket,92,161,11545681
12,left_sq_bracket,89,161,11545692
13,left_sq_bracket,87,161,11545705
14,left_sq_bracket,84,162,11545717
15,left_sq_bracket,82,162,11545729
16,left_sq_bracket,80,162,11545741
17,left_sq_bracket,78,162,11545758
18,left_sq_bracket,76,162,11545773
19,left_sq_bracket,75,164,11545881
20,left_sq_bracket,76,166,11545901
21,left_sq_bracket,78,170,11545917
22,left_sq_bracket,78,172,11545928
23,left_sq_bracket,79,175,11545938
24,left_sq_bracket,79,178,11545949
25,left_sq_bracket,80,181,11545960
26,left_sq_bracket,81,188,11545970
27,left_sq_bracket,81,194,11545982
28,left_sq_bracket,82,197,11545993
29,left_sq_bracket,82,200,11545994
30,left_sq_bracket,82,207,11546006
31,left_sq_bracket,82,211,11546018
32,left_sq_bracket,83,218,11546030
33,left_sq_bracket,83,225,11546043
34,left_sq_bracket,83,227,11546056
35,left_sq_bracket,83,234,11546068
36,left_sq_bracket,83,240,11546081
37,left_sq_bracket,84,245,11546094
38,left_sq_bracket,84,247,11546109
39,left_sq_bracket,85,249,11546247
40,left_sq_bracket,87,250,11546271
41,left_sq_bracket,89,250,11546288
42,left_sq_bracket,92,250,11546303
43,left_sq_bracket,96,249,11546317
44,left_sq_bracket,101,248,11546332
45,left_sq_bracket,108,248,11546348
46,left_sq_bracket,114,247,11546363
47,left_sq_bracket,118,246,11546380
48,left_sq_bracket,120,246,11546396
49,left_sq_bracket,123,247,11546413
50,left_sq_bracket,125,246,11546431
