idx,label,x,y,timestamp
0,left_sq_bracket,133,135,202086066
1,left_sq_bracket,131,136,202086083
2,left_sq_bracket,128,137,202086095
3,left_sq_bracket,125,138,202086104
4,left_sq_bracket,121,139,202086111
5,left_sq_bracket,118,139,202086119
6,left_sq_bracket,114,139,202086127
7,left_sq_bracket,112,140,202086133
8,left_sq_bracket,108,140,202086140
9,left_sq_bracket,106,141,202086146
10,left_sq_bracket,104,141,202086148
11,left_sq_bracket,100,142,202086156
12,left_sq_bracket,98,142,202086164
13,left_sq_bracket,95,142,202086172
14,left_sq_bracket,93,142,202086181
15,left_sq_bracket,91,143,202086192
16,left_sq_bracket,93,143,202086246
17,left_sq_bracket,96,144,202086258
18,left_sq_bracket,99,145,202086271
19,left_sq_bracket,101,146,202086282
20,left_sq_bracket,104,147,202086295
21,left_sq_bracket,106,149,202086304
22,left_sq_bracket,107,152,202086313
23,left_sq_bracket,108,156,202086322
24,left_sq_bracket,108,158,202086324
25,left_sq_bracket,108,163,202086334
26,left_sq_bracket,107,171,202086344
27,left_sq_bracket,107,177,202086354
28,left_sq_bracket,105,188,202086365
29,left_sq_bracket,103,198,202086375
30,left_sq_bracket,101,206,202086386
31,left_sq_bracket,100,209,202086387
32,left_sq_bracket,99,215,202086399
33,left_sq_bracket,98,217,202086400
34,left_sq_bracket,96,224,202086411
35,left_sq_bracket,95,230,202086424
36,left_sq_bracket,94,237,202086436
37,left_sq_bracket,94,241,202086448
38,left_sq_bracket,94,243,202086460
39,left_sq_bracket,94,246,202086472
40,left_sq_bracket,96,244,202086528
41,left_sq_bracket,98,242,202086541
42,left_sq_bracket,103,240,202086555
43,left_sq_bracket,113,237,202086569
44,left_sq_bracket,127,235,202086584
45,left_sq_bracket,137,236,202086599
46,left_sq_bracket,144,236,202086613
47,left_sq_bracket,146,237,202086627
48,left_sq_bracket,148,237,202086642
49,left_sq_bracket,149,234,202086676
50,left_sq_bracket,149,232,202086691
