idx,label,x,y,timestamp
0,left_sq_bracket,135,150,252924849
1,left_sq_bracket,133,149,252924913
2,left_sq_bracket,131,150,252924921
3,left_sq_bracket,129,151,252924929
4,left_sq_bracket,125,152,252924937
5,left_sq_bracket,122,152,252924945
6,left_sq_bracket,120,152,252924951
7,left_sq_bracket,116,152,252924957
8,left_sq_bracket,114,152,252924964
9,left_sq_bracket,110,153,252924970
10,left_sq_bracket,108,154,252924977
11,left_sq_bracket,105,154,252924984
12,left_sq_bracket,102,154,252924992
13,left_sq_bracket,98,154,252925000
14,left_sq_bracket,96,153,252925008
15,left_sq_bracket,93,152,252925017
16,left_sq_bracket,91,152,252925025
17,left_sq_bracket,89,151,252925037
18,left_sq_bracket,90,154,252925115
19,left_sq_bracket,90,158,252925126
20,left_sq_bracket,90,165,252925136
21,left_sq_bracket,90,171,252925146
22,left_sq_bracket,90,175,252925147
23,left_sq_bracket,89,180,252925157
24,left_sq_bracket,87,192,252925167
25,left_sq_bracket,86,198,252925178
26,left_sq_bracket,86,205,252925188
27,left_sq_bracket,86,213,252925199
28,left_sq_bracket,86,215,252925210
29,left_sq_bracket,86,220,252925221
30,left_sq_bracket,87,222,252925232
31,left_sq_bracket,89,224,252925246
32,left_sq_bracket,91,223,252925259
33,left_sq_bracket,94,223,252925270
34,left_sq_bracket,97,221,252925282
35,left_sq_bracket,100,220,252925294
36,left_sq_bracket,108,216,252925307
37,left_sq_bracket,116,214,252925319
38,left_sq_bracket,124,213,252925333
39,left_sq_bracket,134,212,252925347
40,left_sq_bracket,141,212,252925360
41,left_sq_bracket,144,213,252925373
42,left_sq_bracket,147,215,252925374
43,left_sq_bracket,149,216,252925388
44,left_sq_bracket,152,218,252925402
45,left_sq_bracket,154,219,252925416
