idx,label,x,y,timestamp
0,left_sq_bracket,138,134,202047639
1,left_sq_bracket,136,135,202047708
2,left_sq_bracket,134,134,202047733
3,left_sq_bracket,132,135,202047749
4,left_sq_bracket,130,136,202047762
5,left_sq_bracket,127,135,202047773
6,left_sq_bracket,125,135,202047780
7,left_sq_bracket,123,136,202047788
8,left_sq_bracket,120,136,202047796
9,left_sq_bracket,117,137,202047804
10,left_sq_bracket,114,138,202047812
11,left_sq_bracket,111,137,202047820
12,left_sq_bracket,108,139,202047828
13,left_sq_bracket,105,141,202047837
14,left_sq_bracket,103,140,202047845
15,left_sq_bracket,101,140,202047865
16,left_sq_bracket,103,141,202047933
17,left_sq_bracket,104,144,202047990
18,left_sq_bracket,104,147,202048002
19,left_sq_bracket,104,150,202048011
20,left_sq_bracket,104,152,202048019
21,left_sq_bracket,104,156,202048028
22,left_sq_bracket,104,162,202048037
23,left_sq_bracket,104,165,202048038
24,left_sq_bracket,104,172,202048048
25,left_sq_bracket,104,180,202048057
26,left_sq_bracket,104,185,202048058
27,left_sq_bracket,104,194,202048069
28,left_sq_bracket,104,206,202048079
29,left_sq_bracket,103,217,202048090
30,left_sq_bracket,103,223,202048101
31,left_sq_bracket,103,226,202048102
32,left_sq_bracket,103,233,202048113
33,left_sq_bracket,103,236,202048114
34,left_sq_bracket,104,242,202048126
35,left_sq_bracket,104,248,202048138
36,left_sq_bracket,104,255,202048150
37,left_sq_bracket,104,258,202048163
38,left_sq_bracket,104,263,202048175
39,left_sq_bracket,103,265,202048187
40,left_sq_bracket,101,267,202048215
41,left_sq_bracket,103,265,202048308
42,left_sq_bracket,105,264,202048332
43,left_sq_bracket,107,265,202048348
44,left_sq_bracket,109,264,202048361
45,left_sq_bracket,114,264,202048375
46,left_sq_bracket,121,262,202048390
47,left_sq_bracket,127,260,202048404
48,left_sq_bracket,130,259,202048405
49,left_sq_bracket,136,259,202048421
50,left_sq_bracket,143,258,202048437
51,left_sq_bracket,145,258,202048454
52,left_sq_bracket,144,260,202048485
53,left_sq_bracket,142,262,202048506
54,left_sq_bracket,141,260,202048558
