idx,label,x,y,timestamp
0,left_sq_bracket,161,139,268180963
1,left_sq_bracket,161,136,268180999
2,left_sq_bracket,161,133,268181009
3,left_sq_bracket,160,131,268181028
4,left_sq_bracket,158,129,268181036
5,left_sq_bracket,157,126,268181044
6,left_sq_bracket,155,124,268181052
7,left_sq_bracket,153,122,268181060
8,left_sq_bracket,151,119,268181073
9,left_sq_bracket,149,118,268181086
10,left_sq_bracket,147,118,268181102
11,left_sq_bracket,144,120,268181121
12,left_sq_bracket,142,122,268181137
13,left_sq_bracket,140,124,268181154
14,left_sq_bracket,138,125,268181171
15,left_sq_bracket,136,125,268181183
16,left_sq_bracket,134,126,268181195
17,left_sq_bracket,132,127,268181207
18,left_sq_bracket,130,129,268181220
19,left_sq_bracket,128,130,268181232
20,left_sq_bracket,125,131,268181243
21,left_sq_bracket,123,131,268181256
22,left_sq_bracket,121,132,268181267
23,left_sq_bracket,119,132,268181283
24,left_sq_bracket,116,132,268181299
25,left_sq_bracket,114,134,268181323
26,left_sq_bracket,112,134,268181360
27,left_sq_bracket,110,135,268181410
28,left_sq_bracket,110,137,268181743
29,left_sq_bracket,110,139,268181759
30,left_sq_bracket,111,142,268181771
31,left_sq_bracket,111,145,268181782
32,left_sq_bracket,111,148,268181794
33,left_sq_bracket,112,154,268181806
34,left_sq_bracket,112,161,268181818
35,left_sq_bracket,112,165,268181830
36,left_sq_bracket,112,169,268181831
37,left_sq_bracket,112,178,268181844
38,left_sq_bracket,111,185,268181857
39,left_sq_bracket,111,190,268181870
40,left_sq_bracket,111,194,268181871
41,left_sq_bracket,111,199,268181885
42,left_sq_bracket,111,207,268181899
43,left_sq_bracket,110,211,268181914
44,left_sq_bracket,110,218,268181928
45,left_sq_bracket,110,224,268181943
46,left_sq_bracket,110,226,268181958
47,left_sq_bracket,110,228,268181980
48,left_sq_bracket,112,228,268182020
49,left_sq_bracket,115,228,268182036
50,left_sq_bracket,118,228,268182051
51,left_sq_bracket,123,226,268182067
52,left_sq_bracket,130,226,268182082
53,left_sq_bracket,138,226,268182099
54,left_sq_bracket,146,226,268182115
55,left_sq_bracket,152,225,268182132
56,left_sq_bracket,157,224,268182149
57,left_sq_bracket,160,225,268182165
58,left_sq_bracket,162,224,268182182
