idx,label,x,y,timestamp
0,left_sq_bracket,122,145,11489837
1,left_sq_bracket,120,145,11489890
2,left_sq_bracket,118,146,11489911
3,left_sq_bracket,116,145,11489931
4,left_sq_bracket,113,145,11489948
5,left_sq_bracket,111,144,11489960
6,left_sq_bracket,109,145,11489972
7,left_sq_bracket,106,145,11489983
8,left_sq_bracket,104,145,11489995
9,left_sq_bracket,101,145,11490007
10,left_sq_bracket,99,145,11490019
11,left_sq_bracket,96,146,11490032
12,left_sq_bracket,94,145,11490045
13,left_sq_bracket,92,145,11490057
14,left_sq_bracket,89,144,11490069
15,left_sq_bracket,87,144,11490082
16,left_sq_bracket,85,145,11490094
17,left_sq_bracket,82,144,11490110
18,left_sq_bracket,80,144,11490122
19,left_sq_bracket,78,145,11490134
20,left_sq_bracket,76,145,11490146
21,left_sq_bracket,74,145,11490166
22,left_sq_bracket,72,145,11490182
23,left_sq_bracket,70,145,11490214
24,left_sq_bracket,70,147,11490395
25,left_sq_bracket,71,149,11490439
26,left_sq_bracket,71,152,11490455
27,left_sq_bracket,72,154,11490476
28,left_sq_bracket,72,156,11490488
29,left_sq_bracket,73,158,11490500
30,left_sq_bracket,73,160,11490512
31,left_sq_bracket,73,165,11490524
32,left_sq_bracket,74,167,11490537
33,left_sq_bracket,74,169,11490549
34,left_sq_bracket,74,174,11490562
35,left_sq_bracket,75,179,11490574
36,left_sq_bracket,75,181,11490587
37,left_sq_bracket,75,185,11490601
38,left_sq_bracket,75,188,11490614
39,left_sq_bracket,75,192,11490628
40,left_sq_bracket,75,196,11490641
41,left_sq_bracket,76,199,11490657
42,left_sq_bracket,75,201,11490670
43,left_sq_bracket,76,204,11490684
44,left_sq_bracket,76,207,11490699
45,left_sq_bracket,76,209,11490713
46,left_sq_bracket,75,213,11490728
47,left_sq_bracket,75,215,11490756
48,left_sq_bracket,75,217,11490776
49,left_sq_bracket,75,219,11490794
50,left_sq_bracket,74,221,11490812
51,left_sq_bracket,74,224,11490841
52,left_sq_bracket,74,226,11490877
53,left_sq_bracket,74,228,11490925
54,left_sq_bracket,74,230,11491094
55,left_sq_bracket,76,230,11491151
56,left_sq_bracket,78,230,11491179
57,left_sq_bracket,80,230,11491198
58,left_sq_bracket,83,229,11491218
59,left_sq_bracket,87,228,11491236
60,left_sq_bracket,89,227,11491255
61,left_sq_bracket,93,228,11491273
62,left_sq_bracket,96,227,11491293
63,left_sq_bracket,100,226,11491312
64,left_sq_bracket,105,226,11491331
65,left_sq_bracket,107,226,11491352
66,left_sq_bracket,112,226,11491371
67,left_sq_bracket,117,225,11491391
68,left_sq_bracket,119,226,11491412
69,left_sq_bracket,121,225,11491432
70,left_sq_bracket,123,225,11491454
71,left_sq_bracket,125,225,11491488
72,left_sq_bracket,127,225,11491548
