idx,label,x,y,timestamp
0,pigtail,58,239,10219895
1,pigtail,60,240,10219916
2,pigtail,62,240,10219928
3,pigtail,65,240,10219937
4,pigtail,67,241,10219945
5,pigtail,69,241,10219953
6,pigtail,72,241,10219961
7,pigtail,75,242,10219969
8,pigtail,78,242,10219977
9,pigtail,80,241,10219985
10,pigtail,84,240,10219994
11,pigtail,87,241,10220002
12,pigtail,90,239,10220010
13,pigtail,93,239,10220018
14,pigtail,96,237,10220027
15,pigtail,100,235,10220036
16,pigtail,103,233,10220044
17,pigtail,106,231,10220054
18,pigtail,110,228,10220062
19,pigtail,114,224,10220072
20,pigtail,117,222,10220081
21,pigtail,120,219,10220082
22,pigtail,123,215,10220091
23,pigtail,125,213,10220101
24,pigtail,128,210,10220111
25,pigtail,132,204,10220121
26,pigtail,133,202,10220131
27,pigtail,135,198,10220142
28,pigtail,136,194,10220152
29,pigtail,137,190,10220154
30,pigtail,138,186,10220164
31,pigtail,138,183,10220166
32,pigtail,138,177,10220178
33,pigtail,138,170,10220190
34,pigtail,137,164,10220203
35,pigtail,136,161,10220216
36,pigtail,134,156,10220229
37,pigtail,132,150,10220242
38,pigtail,131,148,10220256
39,pigtail,130,146,10220269
40,pigtail,127,143,10220270
41,pigtail,126,141,10220284
42,pigtail,121,138,10220299
43,pigtail,119,137,10220313
44,pigtail,117,136,10220314
45,pigtail,114,136,10220328
46,pigtail,108,136,10220342
47,pigtail,102,138,10220357
48,pigtail,97,139,10220373
49,pigtail,93,142,10220388
50,pigtail,89,146,10220406
51,pigtail,87,152,10220422
52,pigtail,86,158,10220438
53,pigtail,87,164,10220454
54,pigtail,89,176,10220471
55,pigtail,92,186,10220487
56,pigtail,97,197,10220506
57,pigtail,102,203,10220522
58,pigtail,106,210,10220541
59,pigtail,108,212,10220542
60,pigtail,114,217,10220561
61,pigtail,121,223,10220580
62,pigtail,131,232,10220598
63,pigtail,138,236,10220617
64,pigtail,144,241,10220636
65,pigtail,148,242,10220637
66,pigtail,153,245,10220657
67,pigtail,159,246,10220676
68,pigtail,167,246,10220696
69,pigtail,171,246,10220716
70,pigtail,176,243,10220736
71,pigtail,180,240,10220755
72,pigtail,182,239,10220775
73,pigtail,184,236,10220795
74,pigtail,186,235,10220816
75,pigtail,187,233,10220849
76,pigtail,186,231,10220889
