idx,label,x,y,timestamp
0,pigtail,47,218,117200551
1,pigtail,49,218,117200574
2,pigtail,51,218,117200594
3,pigtail,54,218,117200618
4,pigtail,56,218,117200639
5,pigtail,58,217,117200659
6,pigtail,61,218,117200675
7,pigtail,63,216,117200687
8,pigtail,65,216,117200700
9,pigtail,67,216,117200708
10,pigtail,69,214,117200720
11,pigtail,71,214,117200732
12,pigtail,73,212,117200740
13,pigtail,75,213,117200752
14,pigtail,78,211,117200765
15,pigtail,80,212,117200777
16,pigtail,82,210,117200790
17,pigtail,85,209,117200801
18,pigtail,87,208,117200814
19,pigtail,89,207,117200825
20,pigtail,92,206,117200838
21,pigtail,95,205,117200850
22,pigtail,97,203,117200861
23,pigtail,99,202,117200874
24,pigtail,102,201,117200886
25,pigtail,104,199,117200898
26,pigtail,106,197,117200914
27,pigtail,108,195,117200930
28,pigtail,110,193,117200941
29,pigtail,112,191,117200952
30,pigtail,114,189,117200963
31,pigtail,117,187,117200975
32,pigtail,119,184,117200990
33,pigtail,121,182,117201010
34,pigtail,122,180,117201023
35,pigtail,123,178,117201035
36,pigtail,125,175,117201047
37,pigtail,126,173,117201060
38,pigtail,127,171,117201072
39,pigtail,128,169,117201086
40,pigtail,129,165,117201099
41,pigtail,130,163,117201112
42,pigtail,130,161,117201126
43,pigtail,130,158,117201140
44,pigtail,131,156,117201154
45,pigtail,131,154,117201168
46,pigtail,131,152,117201182
47,pigtail,131,150,117201196
48,pigtail,130,147,117201211
49,pigtail,129,145,117201226
50,pigtail,128,143,117201244
51,pigtail,126,141,117201268
52,pigtail,124,140,117201288
53,pigtail,122,139,117201309
54,pigtail,120,139,117201329
55,pigtail,118,140,117201350
56,pigtail,116,141,117201370
57,pigtail,114,142,117201386
58,pigtail,111,142,117201403
59,pigtail,109,145,117201420
60,pigtail,107,147,117201438
61,pigtail,106,149,117201455
62,pigtail,104,151,117201473
63,pigtail,103,154,117201491
64,pigtail,101,156,117201509
65,pigtail,99,161,117201528
66,pigtail,98,165,117201546
67,pigtail,98,168,117201565
68,pigtail,97,171,117201584
69,pigtail,97,175,117201603
70,pigtail,98,179,117201622
71,pigtail,98,184,117201642
72,pigtail,100,187,117201666
73,pigtail,100,189,117201686
74,pigtail,102,192,117201706
75,pigtail,105,197,117201727
76,pigtail,107,199,117201747
77,pigtail,111,202,117201769
78,pigtail,115,204,117201790
79,pigtail,119,204,117201812
80,pigtail,124,205,117201833
81,pigtail,129,207,117201855
82,pigtail,131,207,117201877
83,pigtail,133,208,117201878
84,pigtail,138,208,117201901
85,pigtail,143,209,117201923
86,pigtail,149,207,117201947
87,pigtail,156,205,117201970
88,pigtail,162,202,117201994
89,pigtail,167,199,117202017
90,pigtail,170,197,117202018
91,pigtail,175,194,117202043
92,pigtail,179,191,117202069
93,pigtail,182,189,117202094
94,pigtail,183,186,117202095
