idx,label,x,y,timestamp
0,pigtail,46,244,118955506
1,pigtail,49,243,118955562
2,pigtail,51,243,118955583
3,pigtail,53,243,118955602
4,pigtail,56,243,118955614
5,pigtail,58,242,118955622
6,pigtail,60,242,118955630
7,pigtail,62,241,118955638
8,pigtail,64,240,118955646
9,pigtail,66,239,118955654
10,pigtail,68,239,118955662
11,pigtail,71,238,118955674
12,pigtail,73,238,118955683
13,pigtail,76,236,118955694
14,pigtail,78,235,118955703
15,pigtail,80,233,118955711
16,pigtail,83,233,118955722
17,pigtail,85,232,118955730
18,pigtail,87,231,118955742
19,pigtail,89,230,118955754
20,pigtail,92,229,118955766
21,pigtail,93,227,118955775
22,pigtail,96,226,118955786
23,pigtail,98,225,118955799
24,pigtail,100,223,118955810
25,pigtail,103,221,118955821
26,pigtail,105,220,118955833
27,pigtail,108,218,118955845
28,pigtail,110,216,118955857
29,pigtail,112,215,118955869
30,pigtail,114,214,118955881
31,pigtail,116,211,118955894
32,pigtail,118,211,118955905
33,pigtail,120,209,118955917
34,pigtail,122,208,118955930
35,pigtail,124,206,118955943
36,pigtail,126,204,118955959
37,pigtail,127,202,118955976
38,pigtail,129,199,118955992
39,pigtail,131,197,118956008
40,pigtail,132,195,118956021
41,pigtail,134,192,118956036
42,pigtail,135,190,118956051
43,pigtail,136,187,118956065
44,pigtail,138,185,118956078
45,pigtail,139,183,118956093
46,pigtail,140,181,118956107
47,pigtail,141,178,118956108
48,pigtail,142,175,118956124
49,pigtail,143,173,118956144
50,pigtail,144,171,118956159
51,pigtail,144,168,118956174
52,pigtail,144,166,118956196
53,pigtail,144,163,118956217
54,pigtail,143,161,118956262
55,pigtail,141,161,118956287
56,pigtail,139,161,118956307
57,pigtail,136,160,118956323
58,pigtail,134,161,118956340
59,pigtail,132,161,118956357
60,pigtail,130,162,118956375
61,pigtail,127,164,118956376
62,pigtail,123,167,118956394
63,pigtail,119,169,118956412
64,pigtail,114,171,118956431
65,pigtail,110,175,118956449
66,pigtail,107,177,118956468
67,pigtail,103,182,118956488
68,pigtail,99,188,118956507
69,pigtail,96,190,118956527
70,pigtail,93,196,118956547
71,pigtail,91,198,118956567
72,pigtail,89,204,118956587
73,pigtail,88,208,118956610
74,pigtail,87,215,118956630
75,pigtail,86,221,118956651
76,pigtail,85,225,118956672
77,pigtail,86,230,118956693
78,pigtail,86,235,118956715
79,pigtail,87,237,118956737
80,pigtail,87,242,118956758
81,pigtail,88,244,118956780
82,pigtail,89,246,118956802
83,pigtail,92,251,118956824
84,pigtail,94,252,118956846
85,pigtail,96,254,118956868
86,pigtail,100,255,118956891
87,pigtail,104,255,118956916
88,pigtail,109,255,118956940
89,pigtail,113,254,118956965
90,pigtail,120,254,118956989
91,pigtail,125,252,118957014
92,pigtail,130,250,118957038
93,pigtail,132,249,118957039
94,pigtail,138,246,118957064
95,pigtail,145,244,118957089
96,pigtail,152,241,118957115
97,pigtail,160,237,118957141
98,pigtail,167,233,118957167
99,pigtail,169,233,118957168
100,pigtail,176,230,118957194
101,pigtail,182,228,118957222
102,pigtail,189,225,118957248
103,pigtail,194,221,118957275
