idx,label,x,y,timestamp
0,pigtail,54,214,121019145
1,pigtail,54,216,121019249
2,pigtail,56,219,121019302
3,pigtail,58,220,121019346
4,pigtail,60,221,121019374
5,pigtail,62,222,121019394
6,pigtail,64,222,121019414
7,pigtail,66,222,121019434
8,pigtail,69,222,121019447
9,pigtail,71,221,121019463
10,pigtail,74,220,121019475
11,pigtail,77,220,121019487
12,pigtail,79,220,121019499
13,pigtail,82,218,121019512
14,pigtail,84,217,121019524
15,pigtail,87,216,121019537
16,pigtail,89,215,121019549
17,pigtail,91,215,121019560
18,pigtail,94,213,121019572
19,pigtail,96,212,121019585
20,pigtail,99,211,121019597
21,pigtail,101,210,121019610
22,pigtail,104,209,121019622
23,pigtail,106,208,121019635
24,pigtail,109,205,121019646
25,pigtail,111,203,121019658
26,pigtail,114,202,121019669
27,pigtail,116,201,121019682
28,pigtail,118,200,121019694
29,pigtail,120,198,121019706
30,pigtail,123,197,121019722
31,pigtail,125,195,121019738
32,pigtail,126,193,121019750
33,pigtail,128,191,121019761
34,pigtail,130,190,121019773
35,pigtail,131,187,121019785
36,pigtail,133,186,121019799
37,pigtail,135,184,121019819
38,pigtail,136,182,121019839
39,pigtail,138,180,121019856
40,pigtail,139,177,121019869
41,pigtail,141,175,121019884
42,pigtail,142,173,121019900
43,pigtail,144,171,121019916
44,pigtail,145,169,121019932
45,pigtail,146,166,121019948
46,pigtail,147,164,121019964
47,pigtail,148,161,121019979
48,pigtail,148,159,121019994
49,pigtail,148,157,121020012
50,pigtail,148,155,121020027
51,pigtail,148,152,121020048
52,pigtail,147,150,121020065
53,pigtail,146,148,121020084
54,pigtail,146,146,121020100
55,pigtail,145,143,121020116
56,pigtail,144,141,121020148
57,pigtail,142,141,121020176
58,pigtail,140,138,121020200
59,pigtail,138,139,121020220
60,pigtail,136,138,121020237
61,pigtail,134,139,121020255
62,pigtail,132,138,121020273
63,pigtail,131,140,121020291
64,pigtail,128,139,121020309
65,pigtail,126,140,121020328
66,pigtail,124,141,121020352
67,pigtail,122,142,121020372
68,pigtail,120,143,121020392
69,pigtail,118,145,121020412
70,pigtail,116,147,121020436
71,pigtail,115,149,121020456
72,pigtail,113,151,121020475
73,pigtail,112,154,121020495
74,pigtail,109,158,121020516
75,pigtail,107,160,121020537
76,pigtail,106,162,121020557
77,pigtail,104,167,121020578
78,pigtail,104,170,121020599
79,pigtail,103,172,121020601
80,pigtail,103,174,121020622
81,pigtail,103,178,121020644
82,pigtail,104,183,121020667
83,pigtail,105,187,121020689
84,pigtail,106,190,121020711
85,pigtail,107,195,121020734
86,pigtail,108,197,121020757
87,pigtail,111,201,121020781
88,pigtail,113,204,121020809
89,pigtail,114,206,121020833
90,pigtail,115,208,121020857
91,pigtail,117,210,121020881
92,pigtail,119,212,121020906
93,pigtail,121,214,121020931
94,pigtail,123,215,121020956
95,pigtail,125,216,121020981
96,pigtail,127,216,121021005
97,pigtail,129,218,121021031
98,pigtail,131,218,121021057
99,pigtail,133,218,121021083
100,pigtail,135,218,121021108
101,pigtail,137,219,121021152
102,pigtail,140,218,121021178
103,pigtail,142,220,121021205
104,pigtail,144,219,121021231
105,pigtail,146,220,121021258
106,pigtail,150,219,121021286
107,pigtail,152,218,121021313
108,pigtail,154,218,121021340
109,pigtail,156,217,121021368
110,pigtail,159,217,121021397
111,pigtail,161,217,121021425
112,pigtail,163,216,121021457
113,pigtail,165,214,121021485
114,pigtail,167,213,121021521
115,pigtail,169,212,121021557
116,pigtail,171,209,121021588
117,pigtail,173,208,121021661
118,pigtail,175,205,121021690
