idx,label,x,y,timestamp
0,pigtail,56,221,88358114
1,pigtail,58,222,88358135
2,pigtail,61,223,88358147
3,pigtail,63,224,88358156
4,pigtail,66,225,88358163
5,pigtail,68,226,88358169
6,pigtail,72,226,88358175
7,pigtail,75,226,88358181
8,pigtail,80,225,88358188
9,pigtail,82,225,88358195
10,pigtail,85,224,88358196
11,pigtail,88,224,88358203
12,pigtail,91,222,88358204
13,pigtail,98,219,88358212
14,pigtail,104,216,88358220
15,pigtail,110,212,88358228
16,pigtail,116,208,88358236
17,pigtail,121,204,88358244
18,pigtail,125,199,88358253
19,pigtail,129,193,88358262
20,pigtail,135,185,88358271
21,pigtail,138,178,88358280
22,pigtail,140,172,88358290
23,pigtail,142,164,88358300
24,pigtail,143,160,88358310
25,pigtail,143,158,88358320
26,pigtail,142,155,88358330
27,pigtail,140,153,88358340
28,pigtail,137,153,88358352
29,pigtail,134,154,88358364
30,pigtail,132,155,88358375
31,pigtail,130,157,88358386
32,pigtail,126,163,88358398
33,pigtail,123,169,88358410
34,pigtail,119,177,88358422
35,pigtail,116,188,88358435
36,pigtail,115,200,88358447
37,pigtail,115,204,88358448
38,pigtail,117,215,88358462
39,pigtail,120,223,88358475
40,pigtail,122,226,88358476
41,pigtail,129,230,88358490
42,pigtail,141,233,88358505
43,pigtail,150,233,88358519
44,pigtail,161,228,88358533
45,pigtail,171,224,88358548
46,pigtail,177,219,88358563
47,pigtail,182,214,88358578
48,pigtail,184,211,88358593
49,pigtail,185,209,88358608
